ACCOUNT_ID,PERF_TARGET_90DPD_24M,FICOCV2,FICOCV3,VANTAGE4,TOT_OPEN_TL,TOT_TL,OLDEST_TL_MTHS,REVOL_UTIL,TOT_BAL,REVOL_BAL,INSTALL_BAL,NUM_30DPD_12M,NUM_60DPD_12M,NUM_90DPD_24M,WORST_DPD_12M,NUM_INQ_6M,NUM_NEW_TL_12M,MONTHS_SINCE_DLQ,NUM_PUBLIC_RECORDS,NUM_COLLECTIONS,PCT_TL_CURRENT,TOT_HI_CRED,TOT_MONTHLY_PMT,NUM_BANKRUPT,MTHS_SINCE_BANKRUPT,AVG_TL_AGE_MTHS,EFX_BEACON_5,EFX_BEACON_9,EFX_TOT_REV_TL,EFX_TOT_INST_TL,EFX_REV_UTIL_PCT,EFX_MTHS_OLDEST_TL,EFX_NUM_SATISF_TL,EFX_NUM_DEROG_TL,EFX_TOT_BAL_EXCL_MORT,EFX_NUM_DPD30_EVER,EFX_MAX_DPD_24M,EFX_NUM_INQ_3M,EFX_NUM_INQ_12M,EFX_OPEN_AUTO_TL,EFX_OPEN_MTG_TL,EFX_TOT_PAST_DUE_AMT,EFX_DEBT_TO_INC_RATIO,TU_FICO8,TU_FICO_AUTO8,TU_CV_LINK_SCORE,TU_TOT_OPEN_TL,TU_REVOL_UTIL,TU_NUM_30DPD_24M,TU_NUM_90DPD_EVER,TU_CV_PAYMENT_VELOCITY,TU_CV_BAL_TREND_24M,TU_MTHS_SINCE_OLDEST,TU_NUM_COLLECTIONS,TU_NUM_NEW_TL_6M,TU_TOT_BAL,TU_NUM_BANKRUPT,TU_PCT_TL_NEVER_DLQ,LN_RISKVIEW_SCORE,LN_RISKVIEW_LIENS_SCORE,LN_ADDR_STABILITY,LN_MTHS_AT_CURR_ADDR,LN_NUM_ADDR_CHANGES_5Y,LN_PROPERTY_OWNER,LN_EST_INCOME,LN_NUM_PROP_DEEDS,LN_TOT_PROP_VALUE,LN_NUM_TAX_LIENS,LN_NUM_EVICTIONS,LN_NUM_FELONIES,LN_FRAUD_POINT_SCORE,LN_ID_VERIFICATION,LN_PHONE_VERIFICATION,LN_NUM_ASSOC_ADDR,LN_PROF_LICENSE,INT_APP_REQUESTED_AMT,INT_APP_STATED_INCOME,INT_DTI_RATIO,INT_LTV_RATIO,INT_TERM_MONTHS,INT_APP_CHANNEL,INT_EXISTING_CUST,INT_MTHS_RELATIONSHIP,INT_NUM_EXISTING_ACCTS,INT_CHECKING_BAL_AVG_3M,INT_NUM_NSF_6M,INT_DIRECT_DEPOSIT,INT_EMPLOYMENT_LENGTH_YRS,INT_HOUSING_STATUS,INT_PREV_APPS_12M,INT_INTERNAL_SCORE,INT_APPL_PURPOSE,INT_COBORROWER_FLAG,INT_STATE,PERF_TARGET_30DPD_12M,PERF_TARGET_60DPD_12M,PERF_TARGET_CHARGEOFF_24M,PERF_WORST_DPD_12M,PERF_MONTHS_ON_BOOK,PERF_CURRENT_BAL,PERF_NUM_PMTS_MADE,PERF_NUM_MISSED_PMTS,PERF_LOSS_AMOUNT,PERF_ACCOUNT_STATUS,PERF_ORIGINATION_DATE,PERF_INTEREST_RATE
AU0000001,1,648,738,694,-1,29,33,23.38,0,25593,74501,2,1,0,0,5,6,136,0,0,100,229626,4440,0,82,56.7,603,518,4,5,84.7,110,16,0,25946,4,27,0,2,1,0,1034,0,822,590,465,6,3.33,1,1,47.9,2,180,0,4,88181,0,56.38,694,622,91,168,0,0,153249,1,92672,0,1,0,253,1,1,3,0,13772,105173,25.51,119.71,68,-7,1,0,0,0,0,0,6.71,3,0,720,2,1,25,0,0,0,1,93,32770.82,53,0,1250.23,3,-1,10.78
AU0000002,0,757,850,747,5,55,168,31.49,129411,5408,72635,2,1,1,0,1,4,23,0,2,88.58,59804,2669,0,158,38.81,834,850,13,-7,38.12,217,13,0,28105,2,50,5,0,1,1,0,74.57,792,748,609,6,62.42,1,2,16.34,3,265,0,1,304333,0,-7,763,673,62,84,4,1,23118,2,49984,0,0,0,245,-5,0,5,0,20523,120811,25.0,84.19,-1,6,1,72,0,0,2,0,12.06,2,0,-7,2,0,17,0,0,0,0,41,15891.76,28,1,897.26,1,-1,6.68
AU0000003,0,692,850,628,12,4,209,34.41,0,11537,0,1,1,0,0,4,3,0,0,0,97.6,171586,2338,0,152,124.67,774,755,0,7,88.32,64,21,0,0,2,0,0,0,1,1,1624,37.25,827,794,707,12,11.45,1,0,57.85,2,121,0,3,40207,0,47.52,781,799,19,0,3,1,59580,0,277499,0,0,0,-5,3,1,4,0,25069,143720,12.86,106.04,68,3,0,42,-7,10258.92,4,0,-1,2,0,694,1,0,20,0,0,0,0,28,24585.05,0,0,0,2,-1,7.1
AU0000004,0,794,-7,774,10,9,51,-7,11116,25031,0,0,0,0,0,12,0,0,0,1,79.85,345006,3206,0,84,113.36,-5,741,7,6,32.45,203,3,1,68415,2,15,4,0,1,1,0,49.82,751,735,817,-7,9.78,0,0,39.32,4,271,0,2,128336,0,63.52,797,775,89,-7,0,0,64738,2,247792,1,-7,0,268,2,1,5,0,13175,56313,63.35,71.47,60,6,0,0,3,3129.58,2,0,6.0,1,0,750,3,0,21,0,0,0,1,33,27595.18,13,0,0,1,-1,9.61
AU0000005,0,847,644,725,0,39,222,41.8,0,39613,4779,2,0,0,2,3,3,40,1,1,-7,253961,3089,0,36,40.71,783,828,2,3,87.52,154,9,0,0,1,0,0,1,0,0,0,11.52,798,708,850,0,21.75,1,0,65.17,1,219,1,1,0,0,-7,850,746,45,0,4,1,57975,0,0,0,0,0,244,1,1,0,0,38912,17765,31.35,77.67,38,6,0,15,3,0,0,0,15.45,2,0,627,2,0,56,0,0,0,0,42,19432.93,29,1,0,1,-1,6.19
AU0000006,0,606,850,748,8,9,196,55.89,56564,0,0,0,0,0,0,6,0,78,0,5,94.96,163488,1078,0,2,54.05,829,732,6,8,62.16,257,11,0,0,3,0,0,3,1,1,0,33.91,741,831,803,12,66.47,0,0,61.14,2,96,0,1,133086,0,79.32,796,762,64,7,1,1,9668,0,171622,0,0,0,155,2,1,4,0,31248,142765,49.59,93.6,59,5,1,11,0,8396.05,2,1,3.47,1,0,786,2,0,31,0,0,0,0,53,8683.84,16,1,0,3,-1,12.8
AU0000007,0,850,582,850,12,13,112,49.91,0,5799,85286,0,2,0,1,1,5,30,0,0,96.88,495725,1767,0,68,33.9,850,794,10,0,29.04,261,6,2,119154,1,0,4,3,1,1,1651,30.3,651,797,710,11,50.43,0,2,38.58,3,197,1,1,295082,0,67.23,801,732,71,61,2,1,5748,1,157692,1,0,0,246,1,1,0,0,28285,70272,43.75,122.18,83,3,1,40,0,19423.73,1,1,5.92,2,0,503,1,0,29,0,0,0,0,53,22449.04,47,2,0,2,-1,6.07
AU0000008,0,801,829,789,11,32,140,75.96,0,29022,3489,0,1,0,1,1,1,0,0,0,99.85,275899,2862,0,46,-1,850,707,5,8,41.21,298,28,0,50471,0,33,5,0,0,0,450,49.96,-7,517,796,14,56.15,0,1,48.97,2,288,3,1,20471,0,59.32,798,725,60,74,2,1,33890,0,0,0,1,0,197,1,1,5,0,18601,29634,44.38,70.79,73,5,0,0,2,5518.36,2,1,9.95,5,0,666,1,0,31,0,0,0,0,8,24215.47,25,0,3106.22,1,-1,5.99
AU0000009,0,808,669,810,13,18,206,51.26,94213,2715,41621,1,0,0,0,0,2,-7,1,1,86.89,88875,2596,0,43,68.15,782,725,9,-5,36.94,202,26,2,0,0,0,4,2,0,0,0,63.71,713,900,717,0,0,0,0,40.23,1,300,1,1,82784,0,66.3,723,747,69,55,3,0,49779,2,489521,0,0,1,260,1,0,0,0,42120,4616,43.82,78.92,37,2,0,0,0,4946.48,0,0,-7,1,0,859,1,0,17,0,0,0,0,25,24066.81,28,0,332.3,4,-1,13.79
AU0000010,0,830,850,668,7,24,236,72.91,152318,9304,37915,0,0,0,1,0,2,20,0,1,70.48,79919,1548,1,64,140.28,775,850,6,0,84.6,118,2,0,70682,1,-1,0,3,0,0,375,39.05,746,900,687,4,23.33,0,1,53.55,1,190,5,2,0,0,80.1,649,712,50,0,1,0,40141,1,195133,1,0,0,68,1,1,7,0,24215,83827,36.63,84.71,56,3,1,24,0,0,0,0,9.84,2,1,743,1,0,37,0,-7,0,0,22,7847.97,48,1,0,3,-1,11.57
AU0000011,0,626,740,758,9,29,190,84.98,151442,15809,37404,2,0,0,0,6,7,10,0,5,100,78818,173,1,64,40.19,817,850,11,15,29.73,197,35,0,166319,0,0,3,4,2,0,0,21.08,677,836,850,14,44.45,1,0,19.73,2,73,0,2,98373,0,80.08,822,694,75,0,3,0,96129,2,354638,0,0,0,33,1,1,5,0,20440,137825,32.01,66.68,66,4,0,93,2,0,0,0,1.93,3,2,638,2,0,34,1,0,0,0,46,1042.34,21,2,0,3,-1,0
AU0000012,0,727,721,617,13,29,78,15.63,195172,13297,75197,1,0,0,0,0,0,39,0,0,93.22,0,1447,0,65,73.6,811,600,3,4,54.93,51,3,2,37806,1,0,0,0,1,0,0,21.69,810,697,763,16,21.77,0,1,29.85,3,57,1,2,149509,0,56.89,695,751,49,6,1,1,74136,1,246972,0,0,0,335,1,1,6,0,19197,61274,64.97,121.76,83,3,0,0,0,0,0,1,5.2,1,0,680,1,0,6,0,0,0,0,15,19942.47,9,2,0,4,-1,1.53
AU0000013,0,837,654,790,3,16,154,85.31,0,21129,37142,0,1,1,0,4,1,1,0,0,58.31,221204,2669,0,-7,77.73,728,778,7,3,77.15,290,20,1,-7,0,24,0,1,2,1,0,55.21,765,857,767,9,55.27,2,0,21.9,2,214,1,1,0,0,94.08,824,736,60,105,2,1,25037,0,151269,1,0,0,80,1,1,5,1,49402,89082,43.32,-7,66,4,0,35,0,26600.87,1,0,0,2,1,678,2,0,43,0,0,0,0,15,13071.39,40,3,2039.2,3,-1,14.35
AU0000014,0,734,850,800,9,12,96,45.5,3799,18597,51080,0,1,1,1,6,4,177,1,4,70.07,0,5937,0,134,0,833,708,14,4,64.64,194,3,0,54392,2,33,3,8,3,1,0,59.13,750,900,627,12,48.93,-1,0,30.94,3,161,-1,4,103709,0,100,876,640,76,6,3,0,80495,0,0,1,0,0,98,2,1,6,0,28059,77573,-7,118.97,64,4,0,71,0,9637.63,5,1,0,3,0,-7,1,0,38,0,0,0,-1,14,28012.37,51,3,4825.94,1,-1,6.84
AU0000015,0,729,817,649,13,18,54,12.95,230269,16152,1983,-7,0,0,1,0,0,36,0,3,74.33,0,-1,0,83,-7,724,781,4,8,0,101,16,-5,28841,3,33,2,2,1,1,1360,30.29,804,864,744,14,0,0,0,60.57,2,190,4,3,0,0,100,895,739,87,137,3,0,118715,0,26621,0,0,0,192,1,1,4,0,68452,56977,0,122.38,45,2,1,19,0,13765.65,1,0,3.12,3,2,579,2,1,12,1,0,0,1,22,26205.07,28,1,0,4,-1,9.03
AU0000016,0,734,669,804,14,4,216,7.65,17967,17855,78669,0,0,1,0,9,3,43,0,4,100,429975,1396,0,160,61.28,752,-7,-1,9,65.79,176,29,0,18141,3,21,0,0,0,0,0,69.89,756,704,591,10,0,0,0,9.9,1,151,1,2,266829,0,35.75,831,632,71,69,2,0,107699,1,238168,0,0,0,228,1,1,3,0,22033,0,21.4,83.82,40,5,-7,89,0,1949.8,2,1,5.27,3,2,602,2,0,34,0,0,0,0,9,16568.3,44,1,5784.99,-7,-1,3.26
AU0000017,0,795,823,791,6,41,163,-1,0,42590,20434,0,0,0,1,2,3,49,0,3,87.05,170717,3568,-1,50,69.77,726,754,5,8,39.92,184,18,0,125686,7,24,0,7,3,1,2398,34.39,796,633,742,7,5.46,1,1,72.03,-7,143,0,2,0,1,85.94,737,695,29,42,2,0,122076,2,766935,0,0,0,138,2,0,10,0,25648,136945,-7,87.59,72,4,0,82,2,1700.35,0,0,0.99,1,1,788,2,1,29,0,0,0,0,34,0,52,0,0,2,-1,2.34
AU0000018,0,763,594,741,9,16,249,16.95,268418,0,101328,0,0,0,2,0,3,95,0,0,60.49,118673,410,0,0,130.25,834,651,-1,8,50.44,151,10,1,108307,0,0,0,0,1,0,0,57.9,850,791,804,4,35.17,0,1,85.87,2,166,1,1,209486,-5,100,786,798,38,0,0,1,78826,1,78158,0,0,0,0,1,1,5,0,14808,27707,65.32,74.63,62,2,1,53,0,20092.55,5,-1,3.18,2,1,897,1,1,49,1,0,0,0,11,22193.06,26,1,422.82,1,-1,4.03
AU0000019,0,761,660,845,11,43,132,86.21,330627,6354,150938,0,0,0,1,8,6,0,0,0,82.95,101946,0,0,68,121.48,696,845,9,6,15.7,55,24,0,61787,0,0,4,0,2,0,0,49.79,734,722,588,12,3.52,2,0,45.41,2,18,0,2,-1,0,72.51,716,821,100,46,0,0,73258,1,710772,0,0,0,45,1,1,2,1,5178,132221,46.88,73.23,57,4,0,2,1,0,0,0,11.31,-1,2,775,3,1,54,0,0,0,0,52,20861.16,41,1,0,1,-1,0
AU0000020,0,849,770,797,2,1,57,81.76,186787,84478,46124,0,1,1,0,5,0,4,0,3,100,402031,-1,0,92,180.47,678,803,1,3,53.25,281,5,0,50893,0,23,2,7,2,0,0,12.38,667,718,731,2,9.98,0,0,54.52,2,-7,0,1,30538,0,48.8,571,659,81,137,2,0,15054,1,20877,0,0,0,134,1,1,5,1,29077,106230,58.96,65.5,45,6,1,0,0,0,1,0,4.29,3,0,403,2,1,40,0,0,0,-1,0,8252.61,56,1,2647.61,1,-1,11.69
AU0000021,0,827,775,712,10,42,175,1.3,275426,9907,175421,0,0,0,1,1,0,0,0,1,-7,0,3331,0,49,152.22,752,736,3,2,0,95,-1,0,0,0,0,0,3,0,0,0,0,636,847,706,17,0,2,0,25.81,2,133,1,0,320766,0,86.02,652,724,56,64,5,0,67397,3,0,1,0,0,146,2,0,9,0,23001,108467,-1,89.21,65,4,0,29,1,0,0,0,9.23,3,2,641,1,0,40,0,0,0,-1,76,22955.23,23,1,-1,1,-1,14.47
AU0000022,0,850,609,827,12,32,10,42.86,300091,48935,57280,2,0,0,2,0,2,103,0,0,76.55,341528,-1,0,57,55.44,654,760,7,4,27.17,162,2,0,41295,1,6,2,0,1,0,3139,46.83,732,789,662,0,41.02,0,1,92.32,2,175,0,1,133564,0,77.24,754,763,31,57,3,-1,142378,1,0,0,0,0,245,2,1,7,0,17736,22509,12.0,78.99,54,2,1,0,0,1766.32,0,0,0,1,0,647,1,1,-1,0,0,0,0,25,16025.1,45,1,1251.94,1,-1,11.61
AU0000023,0,850,702,816,19,37,100,30.98,62094,0,123476,1,0,1,1,7,3,37,0,0,96.7,83384,3888,0,61,0,760,681,5,1,7.58,185,7,0,0,1,2,0,0,3,1,224,0,850,687,850,10,65.03,1,0,50.02,3,-7,3,1,127133,0,100,685,656,76,81,4,0,11604,1,498698,0,0,0,366,2,1,5,0,43327,164255,22.61,82.65,70,2,0,0,0,0,1,0,2.41,4,0,702,1,1,33,0,1,0,0,56,17995.67,16,7,2125.17,1,-1,3.83
AU0000024,-1,544,632,522,18,24,190,-7,117398,59651,102419,4,0,0,1,0,0,130,0,0,52.54,217141,0,0,80,0,725,541,4,13,0,201,21,2,4446,-5,49,2,7,3,0,4954,54.3,542,680,564,13,0,1,2,83.8,2,72,2,2,0,0,-5,568,651,49,28,0,0,64971,1,295561,0,0,0,127,1,0,6,0,42199,20330,43.56,85.99,54,3,0,0,0,37356.5,0,0,11.94,3,1,605,2,0,-1,0,0,0,0,11,4303.24,19,3,0,3,-1,8.86
AU0000025,0,721,800,759,18,2,196,37.72,16030,-7,0,0,2,1,0,0,4,24,0,0,88.75,155099,3592,0,0,-7,797,815,5,8,79.52,160,24,1,36330,2,0,5,3,1,1,1993,43.18,659,900,850,2,32.16,1,0,73.89,1,-7,0,2,217536,0,70.32,802,757,54,30,2,1,94260,0,296664,0,0,0,394,2,1,5,0,8805,105130,46.68,100.04,66,5,1,41,3,3273.36,2,1,7.21,2,1,755,1,0,15,0,0,0,1,14,21400.92,34,5,0,1,-1,18.51
AU0000026,0,651,777,728,17,22,163,50.42,0,0,52943,1,0,0,1,-1,1,0,0,2,54.61,337594,606,0,25,149.52,765,740,17,9,50.33,208,14,2,0,0,0,0,0,0,0,3433,40.14,731,813,810,17,48.51,0,0,38.29,3,188,1,0,75433,1,80.26,632,757,46,207,3,1,0,0,431228,0,0,0,149,1,1,4,0,17143,81824,27.8,116.77,51,4,0,0,1,21088.17,1,1,0,1,-7,734,2,0,37,-1,0,0,1,59,3996.85,44,1,2006.05,1,-1,6.09
AU0000027,0,701,651,745,11,21,336,63.81,74613,45628,86049,1,1,1,1,-7,0,0,0,0,100,53058,2562,0,-7,0,713,850,12,7,18.93,157,21,0,3253,0,0,2,-7,1,1,0,60.21,-4,548,788,10,0,1,0,28.57,2,85,1,0,7787,1,48.37,669,761,47,111,0,1,63091,1,0,0,0,0,143,3,1,9,-1,30199,39469,28.39,80.67,66,3,0,0,0,9896.52,0,1,20.89,5,0,623,1,1,48,0,0,0,0,3,32597.43,31,-7,800.21,3,-1,7.34
AU0000028,0,608,719,776,7,20,123,29.74,125893,43280,111268,0,0,0,0,5,5,2,0,2,68.49,-7,2238,0,124,127.59,-1,837,7,4,59.17,13,14,1,73454,3,0,2,3,1,1,0,8.11,786,804,707,7,120.94,1,0,100,3,237,2,2,223376,0,100,564,769,71,140,2,1,42747,2,90962,0,0,0,226,1,1,9,0,36146,104016,22.34,118.97,61,2,1,52,0,0,2,0,1.1,2,1,671,3,1,29,0,0,0,0,19,15963.27,33,0,94.16,1,-1,11.25
AU0000029,0,722,761,850,9,18,68,84.11,65643,43718,14174,1,0,0,2,7,3,68,-7,0,100,99555,1139,0,57,28.22,-3,850,6,0,75.68,254,0,2,98746,0,16,5,2,2,0,0,26.57,744,738,717,16,-1,0,2,43.37,1,157,0,3,53937,0,89.14,778,683,-5,97,3,1,102712,0,347655,0,0,0,35,1,0,9,0,-7,29863,36.5,100.78,74,2,0,0,0,24874.5,3,0,10.63,1,0,897,2,0,33,1,0,0,0,30,24124.66,28,0,0,3,-1,16.18
AU0000030,0,850,697,627,9,36,-1,67.1,184205,-1,121980,1,0,0,0,0,3,15,1,0,99.99,0,1932,0,0,142.87,754,816,0,-7,68.5,231,21,2,177903,0,0,4,7,0,0,0,18.25,811,680,757,9,81.12,1,0,73.78,2,140,0,1,0,0,83.55,562,695,81,24,2,1,48962,2,123230,0,0,0,272,1,1,4,0,31739,27756,-7,121.45,80,4,0,69,1,859.72,4,0,4.82,3,-7,559,2,0,13,0,0,0,0,0,56813.65,41,1,0,2,-1,8.84
AU0000031,0,727,710,700,8,2,213,-1,159177,88209,104410,0,0,0,0,4,1,80,0,1,79.99,22292,2887,0,8,100.73,801,770,9,0,77.2,-1,13,4,95793,3,0,2,8,1,0,0,38.71,712,889,744,0,48.82,2,2,61.85,1,141,1,0,21410,0,79.89,607,720,47,16,0,1,-5,2,583,1,0,0,251,1,1,8,0,22488,88052,40.43,60.74,77,3,0,0,-7,11180.85,2,0,10.33,1,1,578,2,1,30,0,0,0,1,1,0,22,0,353.58,2,-1,12.45
AU0000032,0,839,847,831,10,12,245,8.39,27924,0,35077,1,0,1,-1,6,2,0,0,5,100,0,0,0,63,166.22,746,804,8,3,71.78,108,18,0,43235,0,35,4,1,1,0,3949,23.91,806,764,713,10,0,2,2,75.29,2,241,2,0,95293,0,97.01,718,718,78,0,5,1,81017,0,42038,1,0,1,185,2,0,5,0,28139,99106,45.37,93.93,43,1,1,0,0,0,1,1,3.87,2,1,836,3,0,42,0,0,0,0,24,27122.57,0,0,0,3,-1,4.07
AU0000033,1,703,651,484,8,12,9,60.53,117089,574,40648,3,-7,1,2,7,1,106,0,0,97.97,-1,1399,-7,39,14.05,674,598,12,-1,39.39,75,-5,1,110589,7,34,3,0,1,1,0,17.13,617,486,771,14,0,2,2,54.86,2,234,0,0,32407,1,65.85,531,750,37,38,1,1,99647,1,-5,0,1,0,34,2,1,8,0,20275,5795,33.05,69.51,71,5,1,34,0,23373.0,0,0,8.15,2,0,565,2,0,12,0,0,0,0,34,7304.4,35,0,1106.78,-7,-1,2.79
AU0000034,0,850,660,622,7,4,54,70.52,72840,-7,0,1,1,0,0,4,0,83,0,2,73.38,0,1717,1,83,108.13,709,744,0,10,78.96,164,15,1,0,0,0,0,0,0,1,1882,74.24,699,784,788,12,8.94,2,0,36.69,3,122,0,1,0,0,95.08,756,849,91,36,4,0,-1,1,690374,0,0,0,271,1,1,2,0,12834,24390,40.27,102.01,44,2,1,22,0,0,0,1,10.74,2,0,427,2,0,28,0,0,0,1,-7,25160.4,-7,5,5741.68,3,-1,14.05
AU0000035,0,806,750,784,11,48,97,23.16,32833,39566,32313,0,0,1,1,3,0,0,0,2,100,534678,279,0,0,94.61,782,759,14,7,100.53,139,14,2,0,2,43,4,2,1,2,2681,33.5,850,-1,700,16,12.02,1,0,68.69,1,236,0,1,-5,0,100,754,734,48,66,1,1,84016,4,217287,0,1,0,6,1,0,10,0,30368,60574,18.15,70.1,-7,4,0,66,1,0,3,0,11.45,-1,2,531,1,0,22,1,1,0,0,0,23508.67,13,1,0,2,-1,16.74
AU0000036,0,736,850,802,7,25,223,16.17,230451,0,0,0,0,-7,0,8,2,54,0,0,91.46,209466,2150,0,31,122.77,823,847,6,6,99.88,35,37,2,57350,0,16,1,6,3,0,0,12.61,643,763,694,13,-1,1,0,20.33,1,-1,1,2,86243,0,100,834,795,49,16,3,1,12086,2,535729,0,0,0,0,2,1,3,0,13488,43468,40.48,62.61,83,2,1,96,2,1468.12,2,0,1.96,3,0,729,3,1,26,0,0,0,0,-7,11582.38,13,0,46.35,2,-1,8.44
AU0000037,0,719,850,676,0,21,-7,0,387176,17159,120758,0,0,0,1,7,3,0,0,3,91.21,91852,674,1,47,116.12,770,648,6,5,82.6,168,7,0,92564,2,50,1,2,1,1,278,43.49,821,738,759,0,105.07,0,0,65.51,2,235,3,1,0,0,96.23,698,828,71,58,0,1,111011,0,0,0,0,0,238,1,1,4,0,20123,20162,53.69,80.85,70,6,0,1,2,5128.23,4,0,7.16,2,0,801,3,1,42,1,0,0,0,24,994.61,22,0,0,1,-1,9.46
