source,attribute,label,segment,data_type,n_records,n_missing,pct_missing,actual_min,actual_max,actual_mean,actual_std,dict_ks,dict_psi,dict_importance
Experian,FICOCV2,FICO Score V2,score,integer,4862,138,2.76,401.0,850.0,748.92,73.8,42.3,0.018,0.31
Experian,FICOCV3,FICO Score V3,score,integer,4835,165,3.3,419.0,850.0,747.05,74.78,43.1,0.02,0.32
Experian,VANTAGE4,VantageScore 4.0,score,integer,4853,147,2.94,429.0,850.0,739.25,76.72,40.5,0.021,0.27
Experian,TOT_OPEN_TL,Total Open Tradelines,depth_of_file,integer,4848,152,3.04,0.0,30.0,9.31,5.73,12.4,0.035,0.08
Experian,TOT_TL,Total Tradelines,depth_of_file,integer,4853,147,2.94,0.0,75.0,22.54,12.4,8.5,0.03,0.06
Experian,OLDEST_TL_MTHS,Age of Oldest Tradeline (Months),time_on_file,integer,4844,156,3.12,0.0,454.0,169.78,88.62,18.7,0.025,0.11
Experian,REVOL_UTIL,Revolving Utilization Ratio,utilization,float,4846,154,3.08,0.0,148.41,43.36,29.41,28.3,0.042,0.14
Experian,TOT_BAL,Total Balance All Tradelines,balance,integer,4854,146,2.92,0.0,558043.0,104038.86,99338.02,15.2,0.038,0.07
Experian,REVOL_BAL,Total Revolving Balance,balance,integer,4849,151,3.02,0.0,121253.0,22706.26,21837.81,22.1,0.04,0.1
Experian,INSTALL_BAL,Total Installment Balance,balance,integer,4868,132,2.64,0.0,246456.0,50954.05,43585.21,14.8,0.032,0.09
Experian,NUM_30DPD_12M,Number of 30+ DPD in Last 12 Months,delinquency,integer,4854,146,2.92,0.0,5.0,0.61,0.84,35.2,0.055,0.18
Experian,NUM_60DPD_12M,Number of 60+ DPD in Last 12 Months,delinquency,integer,4851,149,2.98,0.0,3.0,0.35,0.56,38.5,0.06,0.16
Experian,NUM_90DPD_24M,Number of 90+ DPD in Last 24 Months,delinquency,integer,4855,145,2.9,0.0,2.0,0.24,0.45,40.2,0.065,0.15
Experian,WORST_DPD_12M,Worst Delinquency Status in Last 12 Months,delinquency,categorical,4835,165,3.3,0.0,5.0,0.77,0.94,36.8,0.05,0.17
Experian,NUM_INQ_6M,Number of Inquiries in Last 6 Months,inquiry,integer,4853,147,2.94,0.0,15.0,3.0,2.63,18.5,0.038,0.09
Experian,NUM_NEW_TL_12M,Number of New Tradelines in Last 12 Months,new_credit,integer,4856,144,2.88,0.0,11.0,2.33,2.0,14.2,0.032,0.07
Experian,MONTHS_SINCE_DLQ,Months Since Most Recent Delinquency,delinquency,integer,4844,156,3.12,0.0,218.0,42.61,37.35,25.8,0.042,0.13
Experian,NUM_PUBLIC_RECORDS,Number of Public Records,public_record,integer,4853,147,2.94,0.0,2.0,0.17,0.38,22.5,0.038,0.1
Experian,NUM_COLLECTIONS,Number of Collection Accounts,derogatory,integer,4860,140,2.8,0.0,8.0,1.19,1.34,28.5,0.05,0.12
Experian,PCT_TL_CURRENT,Percent Tradelines Current,payment_history,float,4855,145,2.9,25.5,100.0,85.77,14.13,30.2,0.038,0.15
Experian,TOT_HI_CRED,Total High Credit/Credit Limit,credit_capacity,integer,4851,149,2.98,0.0,727682.0,145426.96,134616.7,10.5,0.028,0.05
Experian,TOT_MONTHLY_PMT,Total Monthly Payment Amount,payment,integer,4842,158,3.16,0.0,10141.0,2062.4,1771.33,12.8,0.035,0.06
Experian,NUM_BANKRUPT,Number of Bankruptcies,public_record,integer,4859,141,2.82,0.0,1.0,0.08,0.27,20.5,0.035,0.09
Experian,MTHS_SINCE_BANKRUPT,Months Since Most Recent Bankruptcy,public_record,integer,4846,154,3.08,0.0,240.0,68.41,44.51,18.2,0.032,0.08
Experian,AVG_TL_AGE_MTHS,Average Tradeline Age (Months),time_on_file,float,4849,151,3.02,0.0,277.75,88.03,53.03,16.5,0.03,0.1
Equifax,EFX_BEACON_5,Equifax Beacon 5.0 Score,score,integer,4846,154,3.08,423.0,850.0,748.83,71.33,41.8,0.017,0.3
Equifax,EFX_BEACON_9,Equifax Beacon 9.0 Score,score,integer,4858,142,2.84,398.0,850.0,746.63,73.87,42.5,0.019,0.31
Equifax,EFX_TOT_REV_TL,Total Revolving Tradelines,depth_of_file,integer,4847,153,3.06,0.0,24.0,7.09,4.32,10.8,0.032,0.06
Equifax,EFX_TOT_INST_TL,Total Installment Tradelines,depth_of_file,integer,4863,137,2.74,0.0,18.0,5.28,3.52,9.5,0.03,0.05
Equifax,EFX_REV_UTIL_PCT,Revolving Utilization Percentage,utilization,float,4860,140,2.8,0.0,141.27,42.82,28.46,27.8,0.04,0.13
Equifax,EFX_MTHS_OLDEST_TL,Months Since Oldest Tradeline Opened,time_on_file,integer,4855,145,2.9,0.0,469.0,172.77,87.7,18.2,0.024,0.1
Equifax,EFX_NUM_SATISF_TL,Number of Satisfactory Tradelines,payment_history,integer,4853,147,2.94,0.0,48.0,15.29,9.02,12.5,0.028,0.08
Equifax,EFX_NUM_DEROG_TL,Number of Derogatory Tradelines,derogatory,integer,4848,152,3.04,0.0,6.0,0.97,1.12,30.2,0.052,0.14
Equifax,EFX_TOT_BAL_EXCL_MORT,Total Balance Excluding Mortgage,balance,integer,4837,163,3.26,0.0,260949.0,49745.63,44655.49,14.5,0.035,0.07
Equifax,EFX_NUM_DPD30_EVER,Number of 30+ DPD Ever,delinquency,integer,4854,146,2.92,0.0,11.0,2.08,2.19,28.5,0.045,0.13
Equifax,EFX_MAX_DPD_24M,Maximum Days Past Due in Last 24 Months,delinquency,integer,4855,145,2.9,0.0,141.0,17.22,21.83,35.8,0.055,0.16
Equifax,EFX_NUM_INQ_3M,Number of Inquiries in Last 3 Months,inquiry,integer,4866,134,2.68,0.0,9.0,1.8,1.65,16.2,0.035,0.08
Equifax,EFX_NUM_INQ_12M,Number of Inquiries in Last 12 Months,inquiry,integer,4828,172,3.44,0.0,17.0,3.88,3.28,15.5,0.032,0.07
Equifax,EFX_OPEN_AUTO_TL,Number of Open Auto Tradelines,auto_specific,integer,4858,142,2.84,0.0,5.0,1.25,0.95,22.5,0.038,0.12
Equifax,EFX_OPEN_MTG_TL,Number of Open Mortgage Tradelines,mortgage_specific,integer,4858,142,2.84,0.0,3.0,0.59,0.64,8.2,0.022,0.03
Equifax,EFX_TOT_PAST_DUE_AMT,Total Past Due Amount,delinquency,integer,4849,151,3.02,0.0,11705.0,1321.45,1921.41,32.5,0.058,0.15
Equifax,EFX_DEBT_TO_INC_RATIO,Estimated Debt to Income Ratio,capacity,float,4855,145,2.9,0.0,117.33,39.09,21.35,20.5,0.038,0.11
