ACCOUNT_ID,PERF_TARGET_90DPD_24M,FICOCV2,FICOCV3,VANTAGE4,TOT_OPEN_TL,TOT_TL,OLDEST_TL_MTHS,REVOL_UTIL,TOT_BAL,REVOL_BAL,INSTALL_BAL,NUM_30DPD_12M,NUM_60DPD_12M,NUM_90DPD_24M,WORST_DPD_12M,NUM_INQ_6M,NUM_NEW_TL_12M,MONTHS_SINCE_DLQ,NUM_PUBLIC_RECORDS,NUM_COLLECTIONS,PCT_TL_CURRENT,TOT_HI_CRED,TOT_MONTHLY_PMT,NUM_BANKRUPT,MTHS_SINCE_BANKRUPT,AVG_TL_AGE_MTHS,EFX_BEACON_5,EFX_BEACON_9,EFX_TOT_REV_TL,EFX_TOT_INST_TL,EFX_REV_UTIL_PCT,EFX_MTHS_OLDEST_TL,EFX_NUM_SATISF_TL,EFX_NUM_DEROG_TL,EFX_TOT_BAL_EXCL_MORT,EFX_NUM_DPD30_EVER,EFX_MAX_DPD_24M,EFX_NUM_INQ_3M,EFX_NUM_INQ_12M,EFX_OPEN_AUTO_TL,EFX_OPEN_MTG_TL,EFX_TOT_PAST_DUE_AMT,EFX_DEBT_TO_INC_RATIO,TU_FICO8,TU_FICO_AUTO8,TU_CV_LINK_SCORE,TU_TOT_OPEN_TL,TU_REVOL_UTIL,TU_NUM_30DPD_24M,TU_NUM_90DPD_EVER,TU_CV_PAYMENT_VELOCITY,TU_CV_BAL_TREND_24M,TU_MTHS_SINCE_OLDEST,TU_NUM_COLLECTIONS,TU_NUM_NEW_TL_6M,TU_TOT_BAL,TU_NUM_BANKRUPT,TU_PCT_TL_NEVER_DLQ,LN_RISKVIEW_SCORE,LN_RISKVIEW_LIENS_SCORE,LN_ADDR_STABILITY,LN_MTHS_AT_CURR_ADDR,LN_NUM_ADDR_CHANGES_5Y,LN_PROPERTY_OWNER,LN_EST_INCOME,LN_NUM_PROP_DEEDS,LN_TOT_PROP_VALUE,LN_NUM_TAX_LIENS,LN_NUM_EVICTIONS,LN_NUM_FELONIES,LN_FRAUD_POINT_SCORE,LN_ID_VERIFICATION,LN_PHONE_VERIFICATION,LN_NUM_ASSOC_ADDR,LN_PROF_LICENSE,INT_APP_REQUESTED_AMT,INT_APP_STATED_INCOME,INT_DTI_RATIO,INT_LTV_RATIO,INT_TERM_MONTHS,INT_APP_CHANNEL,INT_EXISTING_CUST,INT_MTHS_RELATIONSHIP,INT_NUM_EXISTING_ACCTS,INT_CHECKING_BAL_AVG_3M,INT_NUM_NSF_6M,INT_DIRECT_DEPOSIT,INT_EMPLOYMENT_LENGTH_YRS,INT_HOUSING_STATUS,INT_PREV_APPS_12M,INT_INTERNAL_SCORE,INT_APPL_PURPOSE,INT_COBORROWER_FLAG,INT_STATE,PERF_TARGET_30DPD_12M,PERF_TARGET_60DPD_12M,PERF_TARGET_CHARGEOFF_24M,PERF_WORST_DPD_12M,PERF_MONTHS_ON_BOOK,PERF_CURRENT_BAL,PERF_NUM_PMTS_MADE,PERF_NUM_MISSED_PMTS,PERF_LOSS_AMOUNT,PERF_ACCOUNT_STATUS,PERF_ORIGINATION_DATE,PERF_INTEREST_RATE
CR0000001,0,704,842,783,16,39,227,6.28,43978,65152,0,0,0,0,0,0,3,115,0,1,100,0,3228,0,72,57.96,734,764,18,13,83.51,235,31,1,62917,0,36,0,1,0,0,1296,34.67,768,821,759,9,33.81,1,0,48.71,2,204,0,0,65882,0,75.31,757,777,99,65,2,1,0,1,162128,0,0,0,283,-7,1,0,1,5270,92297,35.8,-1,-1,3,0,0,1,-1,1,1,9.01,2,2,701,-1,0,36,0,0,0,0,68,5752.51,25,1,-7,2,-1,27.98
CR0000002,0,834,783,801,27,18,237,21.63,128962,97160,47359,0,0,0,1,3,3,0,1,2,-1,0,1552,0,139,76.33,779,664,12,0,0,191,30,0,2560,3,0,0,0,0,0,0,-1,753,719,804,8,58.04,2,0,62.72,1,134,0,-5,0,0,100,703,756,68,107,3,1,98511,2,-7,0,0,0,113,2,0,8,0,0,108988,77.38,-1,-1,1,0,64,2,0,0,1,3.7,2,1,588,-1,0,35,0,0,0,1,17,10519.01,61,0,0,-7,-1,11.43
CR0000003,0,740,843,757,-7,57,148,-7,51492,24517,0,1,1,1,1,7,2,0,0,1,100,346150,1862,0,54,50.55,-5,791,11,3,23.47,240,37,0,50554,0,0,1,2,0,0,996,34.59,850,741,829,11,48.22,2,1,53.36,1,190,0,3,0,0,69.34,894,741,69,68,2,1,35863,1,283097,0,0,0,134,2,1,9,0,4958,71278,12.94,-1,-1,2,0,38,2,31410.46,0,0,4.13,3,0,764,-1,0,28,0,1,0,1,61,5169.94,19,1,-7,2,-1,20.1
CR0000004,0,705,789,679,7,9,181,90.57,-7,18124,52882,1,0,1,2,2,4,54,1,0,83.23,0,1001,0,7,182.2,749,712,0,4,60.92,-5,33,0,3725,2,18,1,0,1,0,0,44.35,776,737,688,15,42.61,0,0,74.47,1,265,0,3,74625,0,92.91,804,736,74,0,1,1,49957,0,338783,0,0,0,133,1,1,8,0,0,144393,11.55,-1,-1,3,1,0,0,0,0,0,2.6,2,0,511,-1,0,38,0,0,0,0,46,0,27,1,0,2,-1,28.55
CR0000005,0,844,-1,850,9,36,289,25.41,0,61078,38421,0,0,0,1,1,1,0,0,0,84.69,175428,2483,0,72,83.42,818,801,5,0,0,193,17,1,9809,4,-5,1,0,0,-5,0,43.31,840,673,814,22,0,0,0,73.02,2,138,3,0,154917,0,98.15,612,871,68,140,1,1,63689,1,313750,0,0,0,0,2,1,5,1,11781,106543,35.05,-1,-1,4,0,80,3,-1,1,0,3.54,2,2,562,-1,0,6,0,0,0,0,48,13050.53,80,-7,0,-7,-1,5.09
CR0000006,0,739,666,817,3,22,279,66.63,121128,52196,18941,0,0,0,3,0,6,111,0,3,62.41,256426,588,0,35,67.37,814,799,10,11,-5,263,28,0,0,2,-7,0,3,0,1,0,15.79,850,-1,685,10,40.6,0,0,59.82,2,-5,3,0,0,0,100,628,714,78,63,1,0,0,2,31036,0,0,0,389,2,1,9,0,3373,59699,44.43,-1,-1,3,0,105,3,6919.92,2,0,12.88,3,0,818,-1,0,12,0,0,0,-1,70,9619.36,5,2,1695.47,2,-1,18.07
CR0000007,0,850,829,787,14,16,226,24.65,85199,74964,51825,1,-7,0,0,2,0,124,0,3,71.32,97639,0,0,114,27.57,849,727,10,6,46.27,182,27,1,30828,8,5,2,3,2,1,0,49.12,819,741,850,3,78.48,0,1,66.4,2,180,1,1,47295,0,90.24,648,879,37,97,0,0,27164,3,212597,0,0,0,324,2,1,6,0,1833,0,33.96,-1,-1,1,0,81,1,-7,0,1,11.46,3,0,550,-1,0,1,0,0,0,1,44,10302.32,0,1,1589.24,1,-1,28.97
CR0000008,0,786,850,800,9,20,258,45.37,0,31006,0,1,0,0,1,1,1,67,0,0,83.82,220085,-1,0,68,195.59,775,566,5,9,57.81,112,7,0,-7,1,0,0,2,1,1,1069,42.79,834,665,809,17,66.93,0,0,39.37,3,164,0,1,84516,0,49.11,816,627,46,130,1,1,59169,1,0,0,0,0,317,2,1,7,1,13831,31393,32.16,-1,-1,3,1,0,0,23345.54,2,1,16.94,2,0,782,-1,0,32,0,0,0,0,95,15606.79,24,0,1551.93,4,-1,-7
CR0000009,0,715,798,723,11,41,88,52.41,0,21071,49327,1,0,1,1,3,0,90,0,1,99.26,44040,1206,0,84,-1,645,729,10,7,0,-7,31,0,40817,0,69,1,2,0,0,154,0,730,807,803,1,102.45,1,0,16.82,3,198,1,1,0,0,100,845,697,49,194,2,0,78360,0,129932,0,0,0,351,1,1,0,0,19002,0,48.36,-1,-1,4,0,132,4,8729.32,2,1,1.34,3,0,-1,-1,0,41,0,0,0,1,71,5218.3,38,3,-1,2,-1,23.74
CR0000010,0,796,803,725,13,6,313,65.43,0,29980,28961,0,1,0,0,2,-7,32,0,3,84.16,21308,1657,0,97,-7,728,729,14,6,-7,174,14,0,19998,1,32,1,0,0,0,780,38.08,768,813,791,14,100.62,-1,0,71.87,3,158,1,1,49778,0,62.13,696,744,61,126,2,1,63433,1,52750,0,0,0,236,1,0,7,0,9298,70262,13.61,-1,-1,3,1,0,0,27380.76,0,0,0,3,0,898,-1,0,34,0,1,0,0,55,7487.22,62,-7,0,1,-1,22.56
CR0000011,0,754,826,775,8,40,240,104.4,0,0,17676,0,0,0,0,0,0,75,0,0,78.83,110120,1770,0,96,185.58,813,772,9,11,28.81,378,7,2,76513,5,22,2,0,1,0,0,63.77,733,770,731,12,78.04,0,0,37.26,2,0,2,0,117128,0,71.84,857,676,100,53,0,1,108977,0,365121,0,1,0,264,2,1,3,0,8086,112561,53.48,-1,-1,4,1,93,0,13288.31,2,1,-1,2,1,856,-1,0,28,0,0,1,0,45,-7,0,0,1042.88,2,-1,19.14
CR0000012,0,742,801,709,9,32,46,32.67,15613,0,0,1,1,0,1,3,0,44,0,0,100,186668,0,0,97,12.96,762,839,15,0,32.16,62,11,0,47555,0,30,0,3,0,1,-1,35.56,792,749,639,26,-5,0,0,64.39,2,177,2,2,0,0,100,770,739,45,110,2,1,53721,0,229543,0,0,0,37,1,1,5,0,25122,3781,37.13,-1,-1,4,0,0,1,20583.25,2,0,13.2,2,0,693,-1,0,5,0,0,0,0,65,165.88,10,3,2355.03,1,-1,29.11
CR0000013,0,702,811,827,8,22,214,20.57,0,34736,66898,0,1,0,0,3,0,38,0,0,-7,32555,781,0,4,114.19,827,836,7,0,82.27,319,15,0,0,0,42,2,9,2,0,3941,31.8,807,768,659,4,6.0,1,0,88.33,3,185,0,1,10161,0,87.12,721,836,46,7,4,1,93999,1,125429,0,0,0,226,1,1,6,0,15566,120658,38.61,-1,-1,3,1,0,2,24038.83,3,0,9.89,4,0,813,-1,0,23,0,0,0,0,14,0,93,0,0,1,-1,18.52
CR0000014,0,728,775,850,12,27,246,77.04,0,87712,40702,0,1,1,3,3,3,129,0,0,96.89,285817,0,0,105,69.96,817,827,9,6,15.18,362,21,1,106060,1,17,1,2,1,0,0,11.44,743,635,-5,0,55.84,1,0,76.95,2,320,0,0,38021,0,99.86,784,715,78,20,4,1,125282,1,440628,-1,0,0,217,1,1,5,-7,-1,13512,29.81,-1,-1,4,0,11,1,11430.12,0,0,11.25,1,1,675,-1,0,1,0,0,0,0,47,3384.85,69,1,3054.2,2,-1,22.45
CR0000015,0,769,699,788,19,61,228,0,0,29674,0,0,0,0,1,0,4,0,0,0,67.81,127108,0,0,0,0,816,776,10,3,13.42,149,26,0,56446,1,10,2,4,1,0,6365,44.49,638,678,739,2,-1,1,0,40.72,1,296,0,3,222390,0,79.98,729,728,57,166,2,1,131073,2,410031,0,0,0,478,2,1,3,0,757,-1,29.71,-1,-1,5,1,51,3,17573.06,1,0,4.62,1,0,724,-1,0,26,0,0,0,1,-1,3376.91,9,2,1226.6,1,-1,14.25
CR0000016,0,783,810,778,14,29,330,48.64,96174,0,27092,0,0,0,1,0,0,0,0,0,78.27,150673,1086,0,101,197.13,757,730,16,2,39.7,20,5,2,19195,7,0,0,1,0,1,0,35.16,823,736,751,24,29.4,0,1,62.76,1,228,0,1,0,0,88.47,900,676,45,78,3,1,56469,2,301437,0,-1,0,11,1,1,2,1,-1,54138,-1,-1,-1,4,1,56,1,23873.76,0,0,6.6,4,1,499,-1,0,20,0,0,0,0,0,11018.51,34,0,1924.79,2,-1,14.31
CR0000017,0,682,850,751,19,43,121,33.19,34814,34190,32237,0,0,0,0,0,4,82,0,0,100,155551,3572,0,58,173.4,770,806,16,0,101.63,130,21,1,117323,0,0,-1,8,2,0,0,0,764,839,708,17,21.59,1,0,28.95,2,243,0,0,0,0,53.87,828,677,66,169,2,1,83357,1,10407,0,0,0,0,1,1,0,0,6012,79961,24.56,-1,-1,1,1,4,1,3684.58,2,0,4.29,3,0,654,-1,0,33,0,0,0,0,48,17118.52,0,0,423.36,1,-1,12.19
