source,attribute,label,segment,data_type,n_records,n_missing,pct_missing,actual_min,actual_max,actual_mean,actual_std,dict_ks,dict_psi,dict_importance
Experian,FICOCV2,FICO Score V2,score,integer,4842,158,3.16,492.0,850.0,762.8,63.66,38.1,0.012,0.28
Experian,FICOCV3,FICO Score V3,score,integer,4831,169,3.38,425.0,850.0,762.17,66.95,39.0,0.014,0.29
Experian,VANTAGE4,VantageScore 4.0,score,integer,4849,151,3.02,473.0,850.0,751.67,67.04,36.8,0.015,0.24
Experian,TOT_OPEN_TL,Total Open Tradelines,depth_of_file,integer,4864,136,2.72,0.0,39.0,12.76,7.49,10.1,0.028,0.06
Experian,TOT_TL,Total Tradelines,depth_of_file,integer,4877,123,2.46,0.0,83.0,28.49,14.17,7.2,0.025,0.04
Experian,OLDEST_TL_MTHS,Age of Oldest Tradeline (Months),time_on_file,integer,4854,146,2.92,0.0,531.0,193.8,96.49,16.2,0.02,0.09
Experian,REVOL_UTIL,Revolving Utilization Ratio,utilization,float,4849,151,3.02,0.0,151.06,39.69,27.64,32.1,0.035,0.18
Experian,TOT_BAL,Total Balance All Tradelines,balance,integer,4835,165,3.3,0.0,301800.0,64688.92,61605.43,12.8,0.032,0.05
Experian,REVOL_BAL,Total Revolving Balance,balance,integer,4853,147,2.94,0.0,144217.0,29422.84,28025.7,25.8,0.035,0.13
Experian,INSTALL_BAL,Total Installment Balance,balance,integer,4866,134,2.68,0.0,130111.0,26722.4,25611.02,10.2,0.028,0.04
Experian,NUM_30DPD_12M,Number of 30+ DPD in Last 12 Months,delinquency,integer,4860,140,2.8,0.0,4.0,0.51,0.72,30.8,0.048,0.15
Experian,NUM_60DPD_12M,Number of 60+ DPD in Last 12 Months,delinquency,integer,4847,153,3.06,0.0,3.0,0.3,0.5,34.2,0.052,0.13
Experian,NUM_90DPD_24M,Number of 90+ DPD in Last 24 Months,delinquency,integer,4849,151,3.02,0.0,2.0,0.2,0.41,36.5,0.058,0.12
Experian,WORST_DPD_12M,Worst Delinquency Status in Last 12 Months,delinquency,categorical,4864,136,2.72,0.0,4.0,0.66,0.81,32.5,0.042,0.14
Experian,NUM_INQ_6M,Number of Inquiries in Last 6 Months,inquiry,integer,4850,150,3.0,0.0,10.0,1.83,1.76,15.2,0.03,0.07
Experian,NUM_NEW_TL_12M,Number of New Tradelines in Last 12 Months,new_credit,integer,4850,150,3.0,0.0,9.0,1.99,1.73,12.5,0.028,0.06
Experian,MONTHS_SINCE_DLQ,Months Since Most Recent Delinquency,delinquency,integer,4842,158,3.16,0.0,192.0,49.04,42.69,22.5,0.038,0.11
Experian,NUM_PUBLIC_RECORDS,Number of Public Records,public_record,integer,4850,150,3.0,0.0,1.0,0.08,0.27,18.2,0.032,0.08
Experian,NUM_COLLECTIONS,Number of Collection Accounts,derogatory,integer,4856,144,2.88,0.0,7.0,0.97,1.12,24.2,0.042,0.09
Experian,PCT_TL_CURRENT,Percent Tradelines Current,payment_history,float,4837,163,3.26,26.0,100.0,88.48,11.99,26.8,0.032,0.12
Experian,TOT_HI_CRED,Total High Credit/Credit Limit,credit_capacity,integer,4875,125,2.5,0.0,593923.0,109073.23,101104.64,8.8,0.022,0.04
Experian,TOT_MONTHLY_PMT,Total Monthly Payment Amount,payment,integer,4835,165,3.3,0.0,5789.0,1146.99,999.13,10.2,0.028,0.04
Experian,NUM_BANKRUPT,Number of Bankruptcies,public_record,integer,4848,152,3.04,0.0,1.0,0.01,0.11,16.8,0.028,0.07
Experian,MTHS_SINCE_BANKRUPT,Months Since Most Recent Bankruptcy,public_record,integer,4850,150,3.0,0.0,246.0,72.94,46.71,15.5,0.028,0.06
Experian,AVG_TL_AGE_MTHS,Average Tradeline Age (Months),time_on_file,float,4841,159,3.18,0.0,336.73,100.45,57.71,14.2,0.025,0.08
Equifax,EFX_BEACON_5,Equifax Beacon 5.0 Score,score,integer,4832,168,3.36,414.0,850.0,763.69,62.75,37.5,0.011,0.27
Equifax,EFX_BEACON_9,Equifax Beacon 9.0 Score,score,integer,4865,135,2.7,482.0,850.0,762.43,65.29,38.5,0.013,0.28
Equifax,EFX_TOT_REV_TL,Total Revolving Tradelines,depth_of_file,integer,4867,133,2.66,0.0,33.0,9.82,5.85,8.5,0.025,0.05
Equifax,EFX_TOT_INST_TL,Total Installment Tradelines,depth_of_file,integer,4841,159,3.18,0.0,15.0,4.67,3.05,7.8,0.025,0.04
Equifax,EFX_REV_UTIL_PCT,Revolving Utilization Percentage,utilization,float,4848,152,3.04,0.0,144.61,39.54,27.65,31.5,0.033,0.17
