Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
Internal,INT_APP_REQUESTED_AMT,Requested Loan Amount,Dollar amount requested by the applicant on the application.,integer,application,0,9999999,-1=Not Provided; -7=Not Available,2000,120000,28500,25000,15000,12.5,0.025,0.08,500,100000,8500,5000,8200,8.2,0.02,0.05,50000,5000000,320000,275000,220000,10.8,0.022,0.07,1000,100000,15200,12000,12000,14.5,0.03,0.09
Internal,INT_APP_STATED_INCOME,Stated Annual Income,Annual gross income stated by the applicant on the application.,integer,application,0,99999999,-1=Not Provided; -7=Not Available,12000,800000,68000,58000,42000,18.5,0.03,0.12,15000,1000000,75000,65000,48000,15.2,0.025,0.1,25000,2000000,125000,105000,75000,20.5,0.028,0.14,10000,750000,62000,52000,40000,20.2,0.035,0.13
Internal,INT_DTI_RATIO,Debt-to-Income Ratio,"Calculated ratio of total monthly debt obligations to gross monthly income, expressed as a percentage.",float,capacity,0,999,-1=Unable to Calculate; -7=Not Available,0,85,35.2,33,15,22.5,0.035,0.14,0,80,30.5,28,14,18.8,0.028,0.11,5,65,38.5,37,12,25.2,0.032,0.18,0,90,38.8,36,16,24.5,0.04,0.15
Internal,INT_LTV_RATIO,Loan-to-Value Ratio,"Ratio of the loan amount to the appraised value of the collateral, expressed as a percentage.",float,collateral,0,200,-1=No Collateral / Not Applicable; -7=Not Available,20,150,92,95,22,18.2,0.03,0.13,-1,-1,-1,-1,0,0,0,0,10,105,78,80,15,22.8,0.028,0.16,-1,-1,-1,-1,0,0,0,0
Internal,INT_TERM_MONTHS,Loan Term (Months),Requested or approved loan term in months.,integer,application,1,600,-1=Not Applicable (Revolving); -7=Not Available,12,84,65,72,15,10.5,0.022,0.06,-1,-1,-1,-1,0,0,0,0,60,360,328,360,55,8.2,0.018,0.04,6,84,42,36,18,12.8,0.028,0.07
Internal,INT_APP_CHANNEL,Application Channel,"Channel through which the application was submitted. 1=Branch, 2=Online, 3=Mobile, 4=Phone, 5=Dealer/Broker, 6=Direct Mail.",categorical,application,1,6,1=Branch; 2=Online; 3=Mobile App; 4=Phone/Call Center; 5=Dealer/Broker; 6=Direct Mail Response; -7=Not Available,1,6,3.8,5,1.5,8.5,0.022,0.05,1,6,2.8,2,1.4,6.2,0.018,0.04,1,5,2.5,2,1.3,5.8,0.015,0.03,1,6,2.5,2,1.2,7.8,0.02,0.04
Internal,INT_EXISTING_CUST,Existing Customer Indicator,"Whether the applicant has an existing relationship with the institution. 0=New Customer, 1=Existing Customer.",categorical,relationship,0,1,0=New Customer; 1=Existing Customer; -7=Not Available,0,1,0.35,0,0.48,12.5,0.025,0.07,0,1,0.45,0,0.5,10.2,0.02,0.06,0,1,0.3,0,0.46,8.8,0.018,0.04,0,1,0.52,1,0.5,14.5,0.028,0.08
Internal,INT_MTHS_RELATIONSHIP,Months of Customer Relationship,Duration in months of the customer's relationship with the institution (0 for new customers).,integer,relationship,0,999,-1=Unknown; -7=Not Available,0,360,28,0,48,15.2,0.03,0.08,0,400,42,12,55,12.8,0.025,0.07,0,350,22,0,42,10.5,0.02,0.05,0,380,52,24,60,18.5,0.035,0.1
Internal,INT_NUM_EXISTING_ACCTS,Number of Existing Accounts,Count of active accounts the applicant currently holds with the institution.,integer,relationship,0,99,-7=Not Available,0,12,0.8,0,1.5,10.8,0.022,0.05,0,15,1.2,1,1.8,8.5,0.018,0.04,0,10,0.6,0,1.2,7.2,0.015,0.03,0,14,1.5,1,2.0,12.5,0.025,0.06
Internal,INT_CHECKING_BAL_AVG_3M,Average Checking Balance Last 3 Months,Average daily checking account balance over the past 3 months (existing customers only).,float,deposit_behavior,0,99999999,-1=No Checking Account; -7=Not Available,0,500000,5200,2800,12000,18.5,0.035,0.1,0,600000,6500,3500,15000,15.2,0.028,0.08,0,800000,12500,6800,25000,12.8,0.022,0.06,0,450000,4800,2500,11000,20.2,0.04,0.11
