Source,Attribute Name,Label,Description,Data Type,Segment,Valid Range Min,Valid Range Max,Special Values,Auto_Loan_Min,Auto_Loan_Max,Auto_Loan_Mean,Auto_Loan_Median,Auto_Loan_Std,Auto_Loan_KS,Auto_Loan_PSI,Auto_Loan_Importance,Credit_Card_Min,Credit_Card_Max,Credit_Card_Mean,Credit_Card_Median,Credit_Card_Std,Credit_Card_KS,Credit_Card_PSI,Credit_Card_Importance,Mortgage_Min,Mortgage_Max,Mortgage_Mean,Mortgage_Median,Mortgage_Std,Mortgage_KS,Mortgage_PSI,Mortgage_Importance,Personal_Loan_Min,Personal_Loan_Max,Personal_Loan_Mean,Personal_Loan_Median,Personal_Loan_Std,Personal_Loan_KS,Personal_Loan_PSI,Personal_Loan_Importance
LexisNexis,LN_RISKVIEW_SCORE,RiskView Score,"LexisNexis RiskView credit risk score derived from public records, property data, and alternative data. Used for thin-file and subprime populations.",integer,alternative_score,501,900,-1=No Score / Insufficient Data; -3=Identity Not Verified; -5=No Hit; -7=Not Available; 222=Fraud Indicator,520,900,695,710,78,35.5,0.028,0.22,540,900,718,730,72,32.2,0.022,0.19,580,900,745,755,62,28.5,0.018,0.15,510,900,680,695,82,38.2,0.032,0.25
LexisNexis,LN_RISKVIEW_LIENS_SCORE,RiskView Liens & Judgments Score,"LexisNexis score based on lien filing history, tax liens, and judgment records.",integer,alternative_score,501,900,-1=No Score; -5=No Hit; -7=Not Available,530,900,720,735,72,25.2,0.025,0.12,550,900,738,750,65,22.5,0.02,0.1,590,900,762,775,55,18.8,0.015,0.08,520,900,708,720,78,28.5,0.03,0.14
LexisNexis,LN_ADDR_STABILITY,Address Stability Score,"Score indicating residential address stability based on length at current and previous addresses, number of address changes.",integer,stability,0,100,-1=No Address History; -5=No Hit; -7=Not Available,5,100,62,65,22,18.2,0.032,0.09,5,100,65,68,20,15.5,0.028,0.07,10,100,75,78,16,12.8,0.022,0.05,3,100,58,60,24,20.5,0.038,0.1
LexisNexis,LN_MTHS_AT_CURR_ADDR,Months at Current Address,Number of months the applicant has resided at their current address per LexisNexis records.,integer,stability,0,999,-1=Unknown; -5=No Hit; -7=Not Available,0,480,52,36,55,14.5,0.028,0.07,0,520,58,42,58,12.2,0.024,0.06,0,600,85,60,72,10.5,0.018,0.04,0,450,45,30,50,16.2,0.032,0.08
LexisNexis,LN_NUM_ADDR_CHANGES_5Y,Number of Address Changes in 5 Years,Count of distinct residential address changes in the past 5 years.,integer,stability,0,50,-1=No Address History; -5=No Hit; -7=Not Available,0,12,2.1,2,1.8,15.8,0.03,0.08,0,10,1.8,1,1.5,13.2,0.025,0.06,0,8,1.2,1,1.1,10.5,0.02,0.04,0,15,2.5,2,2.1,18.2,0.035,0.09
LexisNexis,LN_PROPERTY_OWNER,Property Ownership Indicator,"Indicator whether the individual is identified as a property owner through deed and tax records. 0=No, 1=Yes.",categorical,assets,0,1,0=Not a Property Owner; 1=Property Owner; -1=Unknown; -5=No Hit; -7=Not Available,0,1,0.52,1,0.5,20.5,0.025,0.1,0,1,0.55,1,0.5,18.2,0.022,0.08,0,1,0.82,1,0.38,15.5,0.018,0.06,0,1,0.48,0,0.5,22.8,0.03,0.11
LexisNexis,LN_EST_INCOME,Estimated Household Income,"LexisNexis modeled estimate of household income based on property values, neighborhood data, and public records.",integer,income,0,9999999,-1=Unable to Estimate; -5=No Hit; -7=Not Available,12000,800000,72000,62000,45000,16.5,0.03,0.08,15000,900000,78000,68000,48000,14.2,0.025,0.07,25000,1200000,112000,95000,65000,12.8,0.02,0.06,10000,750000,65000,55000,42000,18.5,0.035,0.09
LexisNexis,LN_NUM_PROP_DEEDS,Number of Property Deeds,Count of property deeds on record for the individual.,integer,assets,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,10,0.8,1,1.1,14.2,0.025,0.06,0,12,0.9,1,1.2,12.5,0.022,0.05,0,15,1.5,1,1.5,10.8,0.018,0.04,0,10,0.7,0,1.0,15.8,0.028,0.07
LexisNexis,LN_TOT_PROP_VALUE,Total Property Value,Aggregate assessed or estimated market value of all properties owned by the individual.,integer,assets,0,99999999,-1=No Properties; -5=No Hit; -7=Not Available,0,5000000,185000,120000,250000,12.5,0.028,0.06,0,5500000,205000,140000,280000,10.8,0.024,0.05,0,10000000,450000,320000,420000,8.5,0.018,0.04,0,4500000,165000,100000,230000,14.2,0.032,0.07
LexisNexis,LN_NUM_TAX_LIENS,Number of Tax Liens,Count of federal and state tax liens filed against the individual.,integer,derogatory,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,8,0.15,0,0.5,22.5,0.038,0.1,0,6,0.1,0,0.4,18.8,0.032,0.08,0,4,0.05,0,0.2,14.5,0.025,0.05,0,10,0.2,0,0.6,25.8,0.045,0.12
LexisNexis,LN_NUM_EVICTIONS,Number of Eviction Filings,Count of eviction filings associated with the individual.,integer,derogatory,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,5,0.12,0,0.4,20.2,0.035,0.08,0,4,0.08,0,0.3,16.5,0.028,0.06,0,3,0.03,0,0.2,12.8,0.02,0.04,0,6,0.15,0,0.5,23.5,0.042,0.1
LexisNexis,LN_NUM_FELONIES,Number of Felony Records,Count of felony criminal records found for the individual.,integer,criminal,0,99,-1=No Data; -5=No Hit; -7=Not Available,0,5,0.08,0,0.3,18.5,0.032,0.07,0,4,0.05,0,0.2,14.8,0.025,0.05,0,2,0.02,0,0.1,10.2,0.018,0.03,0,6,0.1,0,0.4,22.2,0.04,0.09
LexisNexis,LN_FRAUD_POINT_SCORE,FraudPoint Score,LexisNexis FraudPoint score indicating the likelihood of identity fraud. Higher scores indicate higher fraud risk.,integer,fraud,0,999,-1=Unable to Score; -5=No Hit; -7=Not Available,0,800,185,150,120,15.2,0.025,0.06,0,850,210,175,135,18.5,0.03,0.08,0,700,145,120,100,12.8,0.02,0.05,0,900,225,190,145,20.2,0.035,0.09
LexisNexis,LN_ID_VERIFICATION,Identity Verification Level,"Level of identity verification achieved. 1=Full Match, 2=Partial Match, 3=Name Only, 4=Address Only, 5=No Match.",categorical,identity,1,5,1=Full Match (SSN+Name+DOB+Address); 2=Partial Match (3 of 4 elements); 3=Name Only Match; 4=Address Only Match; 5=No Match; -1=Unable to Verify; -5=No Hit; -7=Not Available,1,5,1.4,1,0.8,10.5,0.018,0.05,1,5,1.5,1,0.9,12.2,0.022,0.06,1,5,1.2,1,0.5,8.5,0.015,0.03,1,5,1.6,1,1.0,14.5,0.028,0.07
LexisNexis,LN_PHONE_VERIFICATION,Phone Verification Status,"Whether the applicant's phone number is verified and matches known records. 0=Not Verified, 1=Verified.",categorical,identity,0,1,0=Not Verified; 1=Verified; -1=No Phone Data; -5=No Hit; -7=Not Available,0,1,0.78,1,0.42,8.5,0.015,0.04,0,1,0.8,1,0.4,7.8,0.012,0.03,0,1,0.88,1,0.32,5.5,0.01,0.02,0,1,0.75,1,0.43,10.2,0.02,0.05
LexisNexis,LN_NUM_ASSOC_ADDR,Number of Associated Addresses,Total count of distinct addresses historically associated with the individual.,integer,stability,0,99,-1=No Data; -5=No Hit; -7=Not Available,1,25,5.2,4,3.5,12.5,0.028,0.06,1,22,4.8,4,3.2,10.8,0.024,0.05,1,18,4.2,3,2.8,8.5,0.02,0.03,1,28,5.8,5,3.8,14.2,0.032,0.07
LexisNexis,LN_PROF_LICENSE,Professional License Indicator,"Whether the individual holds any professional license (medical, legal, financial, engineering, etc.). 0=No, 1=Yes.",categorical,employment,0,1,0=No Professional License; 1=Has Professional License; -1=No Data; -5=No Hit; -7=Not Available,0,1,0.15,0,0.36,10.2,0.02,0.05,0,1,0.18,0,0.38,8.8,0.018,0.04,0,1,0.28,0,0.45,7.5,0.015,0.03,0,1,0.12,0,0.33,12.5,0.025,0.06
