ACCOUNT_ID,PERF_TARGET_90DPD_24M,FICOCV2,FICOCV3,VANTAGE4,TOT_OPEN_TL,TOT_TL,OLDEST_TL_MTHS,REVOL_UTIL,TOT_BAL,REVOL_BAL,INSTALL_BAL,NUM_30DPD_12M,NUM_60DPD_12M,NUM_90DPD_24M,WORST_DPD_12M,NUM_INQ_6M,NUM_NEW_TL_12M,MONTHS_SINCE_DLQ,NUM_PUBLIC_RECORDS,NUM_COLLECTIONS,PCT_TL_CURRENT,TOT_HI_CRED,TOT_MONTHLY_PMT,NUM_BANKRUPT,MTHS_SINCE_BANKRUPT,AVG_TL_AGE_MTHS,EFX_BEACON_5,EFX_BEACON_9,EFX_TOT_REV_TL,EFX_TOT_INST_TL,EFX_REV_UTIL_PCT,EFX_MTHS_OLDEST_TL,EFX_NUM_SATISF_TL,EFX_NUM_DEROG_TL,EFX_TOT_BAL_EXCL_MORT,EFX_NUM_DPD30_EVER,EFX_MAX_DPD_24M,EFX_NUM_INQ_3M,EFX_NUM_INQ_12M,EFX_OPEN_AUTO_TL,EFX_OPEN_MTG_TL,EFX_TOT_PAST_DUE_AMT,EFX_DEBT_TO_INC_RATIO,TU_FICO8,TU_FICO_AUTO8,TU_CV_LINK_SCORE,TU_TOT_OPEN_TL,TU_REVOL_UTIL,TU_NUM_30DPD_24M,TU_NUM_90DPD_EVER,TU_CV_PAYMENT_VELOCITY,TU_CV_BAL_TREND_24M,TU_MTHS_SINCE_OLDEST,TU_NUM_COLLECTIONS,TU_NUM_NEW_TL_6M,TU_TOT_BAL,TU_NUM_BANKRUPT,TU_PCT_TL_NEVER_DLQ,LN_RISKVIEW_SCORE,LN_RISKVIEW_LIENS_SCORE,LN_ADDR_STABILITY,LN_MTHS_AT_CURR_ADDR,LN_NUM_ADDR_CHANGES_5Y,LN_PROPERTY_OWNER,LN_EST_INCOME,LN_NUM_PROP_DEEDS,LN_TOT_PROP_VALUE,LN_NUM_TAX_LIENS,LN_NUM_EVICTIONS,LN_NUM_FELONIES,LN_FRAUD_POINT_SCORE,LN_ID_VERIFICATION,LN_PHONE_VERIFICATION,LN_NUM_ASSOC_ADDR,LN_PROF_LICENSE,INT_APP_REQUESTED_AMT,INT_APP_STATED_INCOME,INT_DTI_RATIO,INT_LTV_RATIO,INT_TERM_MONTHS,INT_APP_CHANNEL,INT_EXISTING_CUST,INT_MTHS_RELATIONSHIP,INT_NUM_EXISTING_ACCTS,INT_CHECKING_BAL_AVG_3M,INT_NUM_NSF_6M,INT_DIRECT_DEPOSIT,INT_EMPLOYMENT_LENGTH_YRS,INT_HOUSING_STATUS,INT_PREV_APPS_12M,INT_INTERNAL_SCORE,INT_APPL_PURPOSE,INT_COBORROWER_FLAG,INT_STATE,PERF_TARGET_30DPD_12M,PERF_TARGET_60DPD_12M,PERF_TARGET_CHARGEOFF_24M,PERF_WORST_DPD_12M,PERF_MONTHS_ON_BOOK,PERF_CURRENT_BAL,PERF_NUM_PMTS_MADE,PERF_NUM_MISSED_PMTS,PERF_LOSS_AMOUNT,PERF_ACCOUNT_STATUS,PERF_ORIGINATION_DATE,PERF_INTEREST_RATE
MO0000001,0,739,808,801,27,34,162,77.28,159118,2692,10804,0,0,0,1,5,3,29,0,0,100,187886,1954,0,121,151.52,726,754,15,10,36.95,82,21,0,56196,2,26,2,3,0,0,0,35.82,763,754,662,9,-5,1,0,45.93,3,210,0,0,281441,0,100,883,806,67,264,1,1,54164,3,0,0,0,0,0,1,1,10,0,767820,155199,35.22,73.92,320,2,0,60,0,0,0,0,-1,2,0,826,3,1,14,0,-7,0,1,21,298674.12,62,0,0,1,-1,6.0
MO0000002,0,761,850,656,9,9,118,8.74,-1,22421,97378,0,1,0,0,5,2,37,0,0,93.67,257749,1085,0,7,159.94,801,850,22,0,19.25,363,12,1,0,2,0,2,1,0,1,1545,20.76,623,805,776,17,56.48,0,0,92.27,3,0,0,1,612613,0,100,763,839,61,0,1,0,64129,1,745336,0,0,0,154,1,0,3,0,204589,61689,43.88,71.67,333,2,1,0,0,0,0,1,21.06,3,0,832,1,0,19,0,0,0,0,9,0,27,0,20837.37,2,-1,4.42
MO0000003,0,697,747,-7,9,39,-7,40.43,432606,0,22930,0,0,1,1,1,2,0,0,0,88.9,1019982,3304,0,94,-7,794,783,10,13,35.95,276,34,1,0,1,0,0,4,0,0,7399,61.13,799,712,756,5,-1,1,0,77.17,1,307,1,1,205908,0,84.53,792,840,57,-7,3,1,55510,1,143657,0,0,0,228,1,1,7,1,488988,19182,8.38,74.37,-1,4,1,43,2,43928.27,1,0,24.23,3,1,-7,2,1,46,0,0,0,0,59,261556.44,59,0,0,1,-1,3.72
MO0000004,0,790,770,757,22,3,215,13.99,468695,9355,26970,0,1,0,0,3,0,5,0,1,100,0,2439,0,113,184.83,716,768,9,13,0,337,25,1,0,3,4,2,4,0,3,0,39.76,785,798,783,13,18.63,1,0,-5,1,166,1,0,646674,0,99.88,802,746,89,128,1,1,188563,2,850820,0,0,0,142,1,1,1,0,-7,269778,56.14,85.44,403,1,0,51,1,17180.89,1,0,10.43,3,0,629,1,0,16,0,1,0,0,80,353618.04,84,1,4154.6,2,-1,6.74
MO0000005,0,770,766,797,5,27,229,16.06,97304,16046,77769,0,0,0,0,3,1,13,0,0,99.45,13243,2787,0,132,0,818,727,4,2,9.94,195,41,0,0,2,0,2,1,2,1,0,26.41,800,748,760,13,66.98,0,0,48.45,2,249,0,0,979461,0,100,749,828,93,-7,2,0,142958,2,633516,0,0,0,7,1,0,1,0,278408,116537,24.78,105.64,303,2,-7,0,2,65931.49,1,0,11.27,4,0,589,2,0,1,0,0,0,1,0,278974.54,41,0,0,2,-1,3.73
MO0000006,0,814,734,714,1,32,311,0,429519,89173,3829,0,0,0,0,2,1,170,0,0,93.4,0,1369,0,112,81.88,-3,835,11,6,0,392,37,1,0,0,0,2,1,0,1,3813,39.66,808,741,716,5,19.43,1,-7,55.25,2,228,0,1,482703,0,97.52,770,777,85,37,1,1,168083,2,1123918,0,0,0,56,2,1,9,0,173175,293624,41.7,60.12,333,4,0,87,0,44216.84,0,0,19.08,-1,1,661,2,0,54,0,0,0,0,87,130304.3,55,1,0,-7,-1,10.1
MO0000007,0,774,738,826,13,46,188,58.24,565200,0,63234,0,-7,0,0,4,2,38,0,0,89.15,366398,4569,-7,0,51.92,850,721,2,6,20.54,0,42,0,23870,2,46,3,0,0,2,10125,36.62,756,717,759,26,16.72,-7,0,78.28,2,190,1,0,121491,0,-7,741,701,69,135,0,1,59036,1,364367,0,0,0,-1,2,0,6,0,539571,101556,43.42,76.01,294,3,0,15,1,21382.28,3,0,10.24,2,1,838,1,1,44,0,1,0,1,79,503015.82,87,1,0,1,-1,5.55
MO0000008,0,832,774,818,13,16,241,0,-7,0,0,-1,0,0,1,2,1,0,0,0,100,896814,459,0,98,256.54,834,754,16,2,60.18,194,20,0,0,3,0,1,4,2,3,0,23.61,770,697,809,10,23.91,1,0,99.78,2,24,0,0,219139,0,100,791,702,-5,120,1,1,77329,2,632742,0,0,0,72,1,-7,5,1,0,72631,43.4,91.56,368,3,1,0,2,19210.3,0,0,0,3,0,985,1,0,20,0,0,0,0,99,0,48,0,0,-7,-1,4.5
MO0000009,0,685,775,776,0,16,230,12.17,22939,0,6281,0,0,1,0,1,3,133,0,0,94.77,418012,6233,0,160,227.54,713,801,13,7,9.35,130,11,1,0,0,49,2,1,2,3,0,-5,-7,900,838,5,33.73,0,0,91.67,3,165,0,1,765994,0,100,706,765,94,0,2,1,0,3,837969,0,0,0,226,1,1,4,0,666098,195844,-7,98.42,312,4,0,53,2,32376.3,1,-1,1.04,2,0,853,3,1,23,0,0,0,0,59,460715.27,101,0,723.03,1,-1,7.55
MO0000010,0,708,780,808,17,19,136,91.21,370904,27122,91524,0,0,0,0,3,4,0,0,0,77.65,462745,3445,0,96,91.91,754,808,6,0,16.07,173,26,0,32283,2,0,1,0,1,0,0,29.9,774,808,787,13,62.89,0,0,52.19,2,78,0,1,183605,0,100,822,808,77,0,2,0,184477,2,747879,0,0,0,97,2,1,8,0,307481,194694,29.56,88.89,364,2,0,25,0,47957.03,0,1,11.48,2,0,677,1,0,24,0,0,0,0,123,0,58,0,-1,2,-1,7.32
