ACCOUNT_ID,PERF_TARGET_90DPD_24M,FICOCV2,FICOCV3,VANTAGE4,TOT_OPEN_TL,TOT_TL,OLDEST_TL_MTHS,REVOL_UTIL,TOT_BAL,REVOL_BAL,INSTALL_BAL,NUM_30DPD_12M,NUM_60DPD_12M,NUM_90DPD_24M,WORST_DPD_12M,NUM_INQ_6M,NUM_NEW_TL_12M,MONTHS_SINCE_DLQ,NUM_PUBLIC_RECORDS,NUM_COLLECTIONS,PCT_TL_CURRENT,TOT_HI_CRED,TOT_MONTHLY_PMT,NUM_BANKRUPT,MTHS_SINCE_BANKRUPT,AVG_TL_AGE_MTHS,EFX_BEACON_5,EFX_BEACON_9,EFX_TOT_REV_TL,EFX_TOT_INST_TL,EFX_REV_UTIL_PCT,EFX_MTHS_OLDEST_TL,EFX_NUM_SATISF_TL,EFX_NUM_DEROG_TL,EFX_TOT_BAL_EXCL_MORT,EFX_NUM_DPD30_EVER,EFX_MAX_DPD_24M,EFX_NUM_INQ_3M,EFX_NUM_INQ_12M,EFX_OPEN_AUTO_TL,EFX_OPEN_MTG_TL,EFX_TOT_PAST_DUE_AMT,EFX_DEBT_TO_INC_RATIO,TU_FICO8,TU_FICO_AUTO8,TU_CV_LINK_SCORE,TU_TOT_OPEN_TL,TU_REVOL_UTIL,TU_NUM_30DPD_24M,TU_NUM_90DPD_EVER,TU_CV_PAYMENT_VELOCITY,TU_CV_BAL_TREND_24M,TU_MTHS_SINCE_OLDEST,TU_NUM_COLLECTIONS,TU_NUM_NEW_TL_6M,TU_TOT_BAL,TU_NUM_BANKRUPT,TU_PCT_TL_NEVER_DLQ,LN_RISKVIEW_SCORE,LN_RISKVIEW_LIENS_SCORE,LN_ADDR_STABILITY,LN_MTHS_AT_CURR_ADDR,LN_NUM_ADDR_CHANGES_5Y,LN_PROPERTY_OWNER,LN_EST_INCOME,LN_NUM_PROP_DEEDS,LN_TOT_PROP_VALUE,LN_NUM_TAX_LIENS,LN_NUM_EVICTIONS,LN_NUM_FELONIES,LN_FRAUD_POINT_SCORE,LN_ID_VERIFICATION,LN_PHONE_VERIFICATION,LN_NUM_ASSOC_ADDR,LN_PROF_LICENSE,INT_APP_REQUESTED_AMT,INT_APP_STATED_INCOME,INT_DTI_RATIO,INT_LTV_RATIO,INT_TERM_MONTHS,INT_APP_CHANNEL,INT_EXISTING_CUST,INT_MTHS_RELATIONSHIP,INT_NUM_EXISTING_ACCTS,INT_CHECKING_BAL_AVG_3M,INT_NUM_NSF_6M,INT_DIRECT_DEPOSIT,INT_EMPLOYMENT_LENGTH_YRS,INT_HOUSING_STATUS,INT_PREV_APPS_12M,INT_INTERNAL_SCORE,INT_APPL_PURPOSE,INT_COBORROWER_FLAG,INT_STATE,PERF_TARGET_30DPD_12M,PERF_TARGET_60DPD_12M,PERF_TARGET_CHARGEOFF_24M,PERF_WORST_DPD_12M,PERF_MONTHS_ON_BOOK,PERF_CURRENT_BAL,PERF_NUM_PMTS_MADE,PERF_NUM_MISSED_PMTS,PERF_LOSS_AMOUNT,PERF_ACCOUNT_STATUS,PERF_ORIGINATION_DATE,PERF_INTEREST_RATE
PE0000001,0,692,724,624,10,17,218,14.43,81295,19829,14763,-1,0,-7,4,9,5,3,-7,4,95.23,0,1206,0,93,141.15,654,679,0,5,36.27,32,15,1,43342,3,3,2,0,0,0,4602,36.91,685,610,746,2,17.78,0,1,69.75,4,155,1,0,242695,-5,100,657,812,89,-7,2,1,88662,0,278836,-1,0,0,0,2,1,5,0,11382,63373,43.61,-1,48,2,0,116,1,13066.93,1,0,3.78,4,2,574,4,0,14,0,0,0,1,16,19972.73,17,1,0,1,-1,14.64
PE0000002,0,838,705,777,0,25,307,91.47,128481,15418,84343,0,1,0,2,1,8,0,0,0,98.59,431568,1891,1,35,58.09,816,758,7,1,35.96,189,25,2,0,3,0,2,6,1,0,1117,5.23,702,758,651,14,56.41,0,4,48.09,2,86,2,0,62748,0,100,828,790,0,2,3,0,51544,0,0,1,0,0,283,3,0,5,0,-1,73292,21.13,-1,62,1,1,0,0,0,2,1,0,-7,0,633,7,0,47,0,-7,-7,1,22,9710.57,19,0,693.63,1,-1,13.84
PE0000003,0,663,850,760,17,4,0,51.9,89513,4762,7180,0,0,1,-7,7,4,31,0,0,92.28,107825,1045,1,47,86.86,710,788,5,0,56.15,118,15,0,164580,4,6,3,0,0,0,572,83.6,677,640,686,4,88.04,2,0,42.79,3,265,6,1,123332,0,71.83,-7,643,76,0,2,1,52670,0,242365,0,1,0,251,1,1,1,0,6886,61166,37.96,-1,26,2,0,67,2,0,6,0,0,3,1,360,2,0,5,0,0,0,1,30,14534.47,2,2,0,1,-1,4.7
PE0000004,0,645,764,745,0,19,-7,0,28647,41211,74332,2,2,0,3,0,4,28,0,-7,100,101860,962,0,96,10.32,676,-7,-7,9,51.16,198,18,2,91032,0,0,1,3,2,1,4122,47.95,-5,684,724,7,19.05,1,1,31.3,2,223,0,0,64583,0,54.6,570,-5,100,69,0,1,38234,0,371369,0,0,0,258,3,-1,6,1,26232,81874,41.36,-1,46,2,1,187,1,15695.25,3,1,0.29,3,2,416,1,0,8,1,0,0,0,4,11868.38,19,5,0,5,-1,6.8
PE0000005,0,790,850,790,7,27,223,54.15,15797,0,52780,2,1,-1,1,6,0,75,0,4,89.39,245682,608,0,28,-1,622,764,0,1,36.81,353,2,0,0,2,67,0,5,1,1,3169,37.22,812,626,765,6,52.2,0,1,61.75,1,162,1,3,106580,0,86.2,750,608,28,51,4,0,78815,2,0,0,0,0,0,-7,0,4,0,19350,57639,27.68,-1,76,3,0,117,2,0,0,1,7.15,4,1,594,4,0,4,0,0,0,0,24,10327.51,18,6,0,3,-1,15.38
PE0000006,0,750,685,797,8,30,322,91.59,123257,-1,25831,2,1,1,0,1,3,24,1,0,66.89,0,1232,0,84,139.17,736,720,1,7,39.54,244,16,0,31603,4,9,1,4,0,0,546,51.34,728,595,836,6,43.12,1,0,53.56,-7,122,-7,2,10913,0,49.27,767,754,89,43,4,0,0,2,62961,0,1,0,218,-1,0,3,0,0,71008,61.95,-1,44,2,1,73,2,1084.24,0,1,0,1,0,656,5,1,19,0,0,0,0,6,27212.87,14,0,2770.48,3,-1,8.65
PE0000007,0,760,798,760,14,20,34,29.14,141519,23095,23682,-1,1,1,0,0,2,47,0,0,100,-7,0,1,32,108.53,850,830,7,3,6.5,223,3,4,5105,9,0,0,3,1,1,0,35.08,826,617,704,8,48.34,0,0,33.04,4,0,3,0,112802,0,61.9,760,638,69,46,7,1,3544,0,262634,0,1,0,127,1,1,8,0,21352,16452,36.26,-1,24,2,0,49,6,8632.69,0,0,0,2,0,623,7,0,28,0,0,0,0,0,6495.34,8,0,9078.01,2,-1,16.5
PE0000008,0,689,755,765,10,36,204,74.58,173438,54519,0,-1,0,0,0,-1,7,33,0,2,72.74,163803,1815,-7,68,27.22,804,850,-7,8,36.91,301,12,1,0,1,0,5,0,0,0,0,37.01,850,738,814,12,16.14,0,0,42.51,2,56,0,3,138192,0,100,735,552,100,198,3,1,66514,0,0,0,0,0,0,1,0,7,0,37966,43587,53.25,-1,63,3,1,64,2,13938.29,2,0,1.55,2,1,704,10,0,39,0,0,0,0,41,9432.42,17,1,791.16,1,-1,-7
PE0000009,0,725,585,766,8,28,-1,0,14809,38557,39406,1,0,1,1,15,1,39,1,0,100,142983,781,0,13,30.25,850,646,6,3,-7,194,9,4,118608,-1,6,2,4,2,1,-7,23.02,795,846,603,2,28.85,1,1,42.52,1,33,2,2,115780,0,79.24,595,663,54,36,1,1,116908,0,346595,0,0,0,17,2,0,10,0,6228,25910,24.69,-1,61,4,1,0,0,0,1,0,1.58,3,0,628,7,0,14,-1,0,0,1,36,22994.16,18,0,4359.0,1,-1,0
PE0000010,0,771,681,832,6,9,185,2.34,122724,7007,164027,-1,0,0,0,0,7,20,0,3,89.78,0,3422,0,80,166.68,777,750,6,9,27.23,193,14,0,53274,1,23,4,7,0,0,0,37.63,708,692,844,-5,73.53,0,1,37.68,2,181,3,2,99166,0,89.8,788,793,67,53,1,1,83373,0,0,1,0,0,76,2,1,8,0,11742,103783,38.31,-1,1,4,1,7,1,0,3,0,7.62,3,1,737,7,1,23,0,0,0,0,5,2008.26,25,0,0,3,-1,6.0
