source,attribute,label,segment,data_type,n_records,n_missing,pct_missing,actual_min,actual_max,actual_mean,actual_std,dict_ks,dict_psi,dict_importance
Experian,FICOCV2,FICO Score V2,score,integer,4850,150,3.0,374.0,850.0,740.21,80.32,44.8,0.022,0.33
Experian,FICOCV3,FICO Score V3,score,integer,4835,165,3.3,304.0,850.0,739.37,84.36,45.5,0.024,0.34
Experian,VANTAGE4,VantageScore 4.0,score,integer,4857,143,2.86,353.0,850.0,728.69,83.7,43.2,0.025,0.29
Experian,TOT_OPEN_TL,Total Open Tradelines,depth_of_file,integer,4848,152,3.04,0.0,30.0,8.37,5.53,14.2,0.04,0.09
Experian,TOT_TL,Total Tradelines,depth_of_file,integer,4849,151,3.02,0.0,62.0,20.06,11.09,10.3,0.038,0.07
Experian,OLDEST_TL_MTHS,Age of Oldest Tradeline (Months),time_on_file,integer,4852,148,2.96,0.0,533.0,147.83,85.4,20.1,0.03,0.12
Experian,REVOL_UTIL,Revolving Utilization Ratio,utilization,float,4847,153,3.06,0.0,151.78,49.83,32.0,30.5,0.048,0.16
Experian,TOT_BAL,Total Balance All Tradelines,balance,integer,4836,164,3.28,0.0,403090.0,82448.44,78206.28,16.8,0.045,0.08
Experian,REVOL_BAL,Total Revolving Balance,balance,integer,4846,154,3.08,0.0,133730.0,24005.76,22773.53,24.3,0.045,0.12
Experian,INSTALL_BAL,Total Installment Balance,balance,integer,4850,150,3.0,0.0,214665.0,44038.57,39603.9,16.5,0.038,0.1
Experian,NUM_30DPD_12M,Number of 30+ DPD in Last 12 Months,delinquency,integer,4860,140,2.8,0.0,7.0,0.7,0.96,38.5,0.062,0.2
Experian,NUM_60DPD_12M,Number of 60+ DPD in Last 12 Months,delinquency,integer,4848,152,3.04,0.0,4.0,0.43,0.64,42.1,0.068,0.18
Experian,NUM_90DPD_24M,Number of 90+ DPD in Last 24 Months,delinquency,integer,4832,168,3.36,0.0,3.0,0.32,0.53,44.8,0.072,0.17
Experian,WORST_DPD_12M,Worst Delinquency Status in Last 12 Months,delinquency,categorical,4851,149,2.98,0.0,7.0,0.94,1.11,40.1,0.058,0.19
Experian,NUM_INQ_6M,Number of Inquiries in Last 6 Months,inquiry,integer,4871,129,2.58,0.0,20.0,3.77,3.24,20.2,0.045,0.1
Experian,NUM_NEW_TL_12M,Number of New Tradelines in Last 12 Months,new_credit,integer,4854,146,2.92,0.0,15.0,2.76,2.39,16.5,0.038,0.08
Experian,MONTHS_SINCE_DLQ,Months Since Most Recent Delinquency,delinquency,integer,4842,158,3.16,0.0,175.0,37.63,34.88,28.5,0.048,0.14
Experian,NUM_PUBLIC_RECORDS,Number of Public Records,public_record,integer,4855,145,2.9,0.0,2.0,0.25,0.44,25.8,0.045,0.11
Experian,NUM_COLLECTIONS,Number of Collection Accounts,derogatory,integer,4856,144,2.88,0.0,9.0,1.5,1.65,32.1,0.058,0.14
Experian,PCT_TL_CURRENT,Percent Tradelines Current,payment_history,float,4860,140,2.8,15.53,100.0,83.08,16.23,33.8,0.045,0.16
Experian,TOT_HI_CRED,Total High Credit/Credit Limit,credit_capacity,integer,4853,147,2.94,0.0,642557.0,124462.95,117269.26,12.2,0.032,0.06
Experian,TOT_MONTHLY_PMT,Total Monthly Payment Amount,payment,integer,4832,168,3.36,0.0,7805.0,1700.38,1469.08,14.5,0.04,0.07
Experian,NUM_BANKRUPT,Number of Bankruptcies,public_record,integer,4870,130,2.6,0.0,2.0,0.15,0.36,24.2,0.042,0.1
Experian,MTHS_SINCE_BANKRUPT,Months Since Most Recent Bankruptcy,public_record,integer,4846,154,3.08,0.0,218.0,64.05,41.6,20.5,0.038,0.09
Experian,AVG_TL_AGE_MTHS,Average Tradeline Age (Months),time_on_file,float,4853,147,2.94,0.0,252.01,79.25,48.3,18.8,0.035,0.11
Equifax,EFX_BEACON_5,Equifax Beacon 5.0 Score,score,integer,4839,161,3.22,386.0,850.0,740.28,78.08,44.2,0.021,0.32
Equifax,EFX_BEACON_9,Equifax Beacon 9.0 Score,score,integer,4862,138,2.76,381.0,850.0,738.18,81.67,45.2,0.023,0.33
Equifax,EFX_TOT_REV_TL,Total Revolving Tradelines,depth_of_file,integer,4850,150,3.0,0.0,21.0,5.91,3.84,12.5,0.038,0.07
Equifax,EFX_TOT_INST_TL,Total Installment Tradelines,depth_of_file,integer,4854,146,2.92,0.0,19.0,4.98,3.27,11.2,0.035,0.06
Equifax,EFX_REV_UTIL_PCT,Revolving Utilization Percentage,utilization,float,4847,153,3.06,0.0,170.03,49.02,31.72,30.1,0.046,0.15
Equifax,EFX_MTHS_OLDEST_TL,Months Since Oldest Tradeline Opened,time_on_file,integer,4866,134,2.68,0.0,480.0,149.57,83.13,19.8,0.028,0.11
Equifax,EFX_NUM_SATISF_TL,Number of Satisfactory Tradelines,payment_history,integer,4851,149,2.98,0.0,48.0,13.79,8.24,14.2,0.032,0.09
Equifax,EFX_NUM_DEROG_TL,Number of Derogatory Tradelines,derogatory,integer,4834,166,3.32,0.0,7.0,1.16,1.34,34.5,0.06,0.16
Equifax,EFX_TOT_BAL_EXCL_MORT,Total Balance Excluding Mortgage,balance,integer,4851,149,2.98,0.0,209508.0,46054.91,41477.37,16.2,0.042,0.08
Equifax,EFX_NUM_DPD30_EVER,Number of 30+ DPD Ever,delinquency,integer,4850,150,3.0,0.0,14.0,2.31,2.45,32.2,0.052,0.15
Equifax,EFX_MAX_DPD_24M,Maximum Days Past Due in Last 24 Months,delinquency,integer,4851,149,2.98,0.0,193.0,21.37,26.65,39.5,0.062,0.18
Equifax,EFX_NUM_INQ_3M,Number of Inquiries in Last 3 Months,inquiry,integer,4846,154,3.08,0.0,12.0,2.3,2.03,18.5,0.042,0.09
Equifax,EFX_NUM_INQ_12M,Number of Inquiries in Last 12 Months,inquiry,integer,4865,135,2.7,0.0,22.0,4.91,3.96,18.2,0.038,0.08
Equifax,EFX_OPEN_AUTO_TL,Number of Open Auto Tradelines,auto_specific,integer,4848,152,3.04,0.0,4.0,0.81,0.79,10.5,0.025,0.04
Equifax,EFX_OPEN_MTG_TL,Number of Open Mortgage Tradelines,mortgage_specific,integer,4861,139,2.78,0.0,3.0,0.47,0.56,7.5,0.02,0.03
Equifax,EFX_TOT_PAST_DUE_AMT,Total Past Due Amount,delinquency,integer,4844,156,3.12,0.0,13943.0,1645.3,2368.67,36.2,0.065,0.17
Equifax,EFX_DEBT_TO_INC_RATIO,Estimated Debt to Income Ratio,capacity,float,4860,140,2.8,0.0,126.97,43.98,23.91,22.5,0.042,0.12
TransUnion,TU_FICO8,TransUnion FICO Score 8,score,integer,4842,158,3.16,381.0,850.0,743.26,80.01,44.5,0.022,0.32
TransUnion,TU_FICO_AUTO8,TransUnion FICO Auto Score 8,score,integer,4858,142,2.84,316.0,900.0,703.52,92.13,42.2,0.024,0.25
TransUnion,TU_CV_LINK_SCORE,CreditVision Link Score,score,integer,4853,147,2.94,375.0,850.0,726.51,88.79,43.8,0.026,0.3
TransUnion,TU_TOT_OPEN_TL,Total Open Tradelines (TU),depth_of_file,integer,4852,148,2.96,0.0,29.0,8.21,5.37,13.8,0.039,0.08
TransUnion,TU_REVOL_UTIL,Revolving Utilization (TU),utilization,float,4837,163,3.26,0.0,179.12,50.07,32.46,30.8,0.047,0.15
TransUnion,TU_NUM_30DPD_24M,Number of 30+ DPD in Last 24 Months (TU),delinquency,integer,4854,146,2.92,0.0,7.0,1.1,1.37,38.2,0.06,0.19
TransUnion,TU_NUM_90DPD_EVER,Number of 90+ DPD Ever (TU),delinquency,integer,4864,136,2.72,0.0,5.0,0.75,0.95,40.5,0.065,0.17
TransUnion,TU_CV_PAYMENT_VELOCITY,CreditVision Payment Velocity,trended_data,float,4848,152,3.04,0.0,100.0,48.08,23.66,26.5,0.035,0.14
TransUnion,TU_CV_BAL_TREND_24M,CreditVision Balance Trend 24 Months,trended_data,categorical,4837,163,3.26,1.0,4.0,2.23,0.87,22.8,0.038,0.13
TransUnion,TU_MTHS_SINCE_OLDEST,Months Since Oldest Tradeline (TU),time_on_file,integer,4843,157,3.14,0.0,459.0,149.08,83.76,19.9,0.029,0.11
TransUnion,TU_NUM_COLLECTIONS,Number of Collection Accounts (TU),derogatory,integer,4867,133,2.66,0.0,9.0,1.42,1.58,31.8,0.057,0.14
TransUnion,TU_NUM_NEW_TL_6M,New Tradelines in Last 6 Months (TU),new_credit,integer,4849,151,3.02,0.0,9.0,1.71,1.55,14.5,0.035,0.07
TransUnion,TU_TOT_BAL,Total Balance (TU),balance,integer,4845,155,3.1,0.0,417583.0,80344.6,75208.86,16.5,0.044,0.08
TransUnion,TU_NUM_BANKRUPT,Number of Bankruptcies (TU),public_record,integer,4853,147,2.94,0.0,2.0,0.16,0.37,23.8,0.041,0.1
TransUnion,TU_PCT_TL_NEVER_DLQ,Percent Tradelines Never Delinquent (TU),payment_history,float,4865,135,2.7,0.39,100.0,77.01,20.18,32.2,0.048,0.15
LexisNexis,LN_RISKVIEW_SCORE,RiskView Score,alternative_score,integer,4857,143,2.86,501.0,900.0,733.0,85.53,38.2,0.032,0.25
LexisNexis,LN_RISKVIEW_LIENS_SCORE,RiskView Liens & Judgments Score,alternative_score,integer,4858,142,2.84,501.0,900.0,735.94,79.26,28.5,0.03,0.14
LexisNexis,LN_ADDR_STABILITY,Address Stability Score,stability,integer,4857,143,2.86,0.0,100.0,58.02,22.92,20.5,0.038,0.1
LexisNexis,LN_MTHS_AT_CURR_ADDR,Months at Current Address,stability,integer,4840,160,3.2,0.0,265.0,49.98,42.87,16.2,0.032,0.08
LexisNexis,LN_NUM_ADDR_CHANGES_5Y,Number of Address Changes in 5 Years,stability,integer,4851,149,2.98,0.0,12.0,2.65,1.91,18.2,0.035,0.09
LexisNexis,LN_PROPERTY_OWNER,Property Ownership Indicator,assets,categorical,4830,170,3.4,0.0,1.0,0.49,0.5,22.8,0.03,0.11
LexisNexis,LN_EST_INCOME,Estimated Household Income,income,integer,4857,143,2.86,0.0,216717.0,66432.22,39441.8,18.5,0.035,0.09
LexisNexis,LN_NUM_PROP_DEEDS,Number of Property Deeds,assets,integer,4847,153,3.06,0.0,5.0,0.84,0.85,15.8,0.028,0.07
LexisNexis,LN_TOT_PROP_VALUE,Total Property Value,assets,integer,4869,131,2.62,0.0,893532.0,197064.45,182575.84,14.2,0.032,0.07
LexisNexis,LN_NUM_TAX_LIENS,Number of Tax Liens,derogatory,integer,4835,165,3.3,0.0,2.0,0.32,0.5,25.8,0.045,0.12
LexisNexis,LN_NUM_EVICTIONS,Number of Eviction Filings,derogatory,integer,4854,146,2.92,0.0,2.0,0.25,0.44,23.5,0.042,0.1
LexisNexis,LN_NUM_FELONIES,Number of Felony Records,criminal,integer,4848,152,3.04,0.0,2.0,0.16,0.37,22.2,0.04,0.09
LexisNexis,LN_FRAUD_POINT_SCORE,FraudPoint Score,fraud,integer,4851,149,2.98,0.0,769.0,225.99,136.54,20.2,0.035,0.09
LexisNexis,LN_ID_VERIFICATION,Identity Verification Level,identity,categorical,4856,144,2.88,1.0,5.0,1.76,0.82,14.5,0.028,0.07
LexisNexis,LN_PHONE_VERIFICATION,Phone Verification Status,identity,categorical,4857,143,2.86,0.0,1.0,0.72,0.45,10.2,0.02,0.05
LexisNexis,LN_NUM_ASSOC_ADDR,Number of Associated Addresses,stability,integer,4856,144,2.88,0.0,24.0,5.89,3.6,14.2,0.032,0.07
LexisNexis,LN_PROF_LICENSE,Professional License Indicator,employment,categorical,4869,131,2.62,0.0,1.0,0.13,0.34,12.5,0.025,0.06
Internal,INT_APP_REQUESTED_AMT,Requested Loan Amount,application,integer,4835,165,3.3,0.0,57405.0,15811.83,10978.27,14.5,0.03,0.09
Internal,INT_APP_STATED_INCOME,Stated Annual Income,application,integer,4853,147,2.94,0.0,204715.0,62805.31,37901.15,20.2,0.035,0.13
Internal,INT_DTI_RATIO,Debt-to-Income Ratio,capacity,float,4864,136,2.72,0.0,100.66,38.38,15.6,24.5,0.04,0.15
Internal,INT_TERM_MONTHS,Loan Term (Months),application,integer,4856,144,2.88,1.0,109.0,41.88,17.82,12.8,0.028,0.07
Internal,INT_APP_CHANNEL,Application Channel,application,categorical,4827,173,3.46,1.0,6.0,2.56,1.12,7.8,0.02,0.04
Internal,INT_EXISTING_CUST,Existing Customer Indicator,relationship,categorical,4861,139,2.78,0.0,1.0,0.51,0.5,14.5,0.028,0.08
Internal,INT_MTHS_RELATIONSHIP,Months of Customer Relationship,relationship,integer,4857,143,2.86,0.0,283.0,58.99,50.05,18.5,0.035,0.1
Internal,INT_NUM_EXISTING_ACCTS,Number of Existing Accounts,relationship,integer,4836,164,3.28,0.0,8.0,1.74,1.63,12.5,0.025,0.06
Internal,INT_CHECKING_BAL_AVG_3M,Average Checking Balance Last 3 Months,deposit_behavior,float,4872,128,2.56,0.0,51129.19,7182.85,8056.84,20.2,0.04,0.11
Internal,INT_NUM_NSF_6M,Number of NSF Events Last 6 Months,deposit_behavior,integer,4852,148,2.96,0.0,10.0,1.6,1.8,28.8,0.052,0.15
Internal,INT_DIRECT_DEPOSIT,Direct Deposit Indicator,deposit_behavior,categorical,4866,134,2.68,0.0,1.0,0.44,0.5,18.2,0.032,0.09
Internal,INT_EMPLOYMENT_LENGTH_YRS,Employment Length (Years),application,float,4880,120,2.4,0.0,23.13,5.57,4.45,16.5,0.032,0.08
Internal,INT_HOUSING_STATUS,Housing Status,application,categorical,4828,172,3.44,1.0,5.0,2.51,1.11,12.2,0.025,0.06
Internal,INT_PREV_APPS_12M,Previous Applications Last 12 Months,application,integer,4848,152,3.04,0.0,6.0,0.95,0.99,15.5,0.035,0.08
Internal,INT_INTERNAL_SCORE,Internal Behavioral Score,behavioral,integer,4854,146,2.92,218.0,1000.0,662.33,127.95,32.8,0.04,0.2
Internal,INT_APPL_PURPOSE,Loan Purpose,application,categorical,4857,143,2.86,1.0,14.0,5.38,3.13,6.8,0.018,0.03
Internal,INT_COBORROWER_FLAG,Co-Borrower Present,application,categorical,4858,142,2.84,0.0,1.0,0.16,0.37,6.8,0.015,0.03
Internal,INT_STATE,Application State,geography,categorical,4861,139,2.78,1.0,56.0,25.3,14.17,5.5,0.018,0.03
Internal_Performance,PERF_TARGET_30DPD_12M,Target: 30+ DPD in 12 Months,target,binary,4839,161,3.22,0.0,1.0,0.1,0.3,,0.022,
Internal_Performance,PERF_TARGET_60DPD_12M,Target: 60+ DPD in 12 Months,target,binary,4838,162,3.24,0.0,1.0,0.05,0.23,,0.018,
Internal_Performance,PERF_TARGET_90DPD_24M,Target: 90+ DPD in 24 Months,target,binary,4866,134,2.68,0.0,1.0,0.05,0.22,,0.016,
Internal_Performance,PERF_TARGET_CHARGEOFF_24M,Target: Charge-off in 24 Months,target,binary,4866,134,2.68,0.0,1.0,0.05,0.22,,0.015,
